2'保利尼奥交球到左路，荣昊交给阿兰                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
2'阿兰挑传上来，郜林护球回传                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
2'阿兰禁区左侧插上接应郜林回传                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
2'阿兰小角度打门被杨程将球没收                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
3'姜宁中场控球，直传，球出了边线                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
3'王上源掷界外球，高拉特头球后蹭，居吕姆将球破坏出边线                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
4'冯潇霆左路的直传，阿兰横敲                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
4'高拉特跟进上来被杜威绊倒                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
5'高拉特跟进被杜威铲倒                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
5'恒大快发任意球                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
5'荣昊上来接应，传中过不了杜威                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
5'姜宁中场接应分左路，廖均健直传没有传好                   2'第2分钟阿兰挑传上来，郜林护球回做，阿兰跟进小角度怒射被杨程将球没收
16'热尔维尼奥中场停球转身，梅方跟防到位将球踢出边线                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
16'高拉特交给荣昊，阿兰接应                   16'第16分钟河北华夏长传前场，热尔维尼奥接球摆脱防守抹入禁区，晃过了梅方，再晃过冯潇霆，面对曾诚有点犹豫推射远角力度不大，冯潇霆补位及时将险情化解
