25'罗马换人,弗洛伦齐上,Juan Iturbe因伤下场.                   25'开场25分钟，伊图尔韦膝盖扭伤，弗洛伦齐替补出场
26'罗马球员纳因戈兰右脚射门,被防守球员封堵.给他传球的是José Holebas.                   25'开场25分钟，伊图尔韦膝盖扭伤，弗洛伦齐替补出场
26'Mirko Valdifiori将球处理出底线,罗马获得角球.                   25'开场25分钟，伊图尔韦膝盖扭伤，弗洛伦齐替补出场
28'罗马球员弗洛伦齐大禁区左侧右脚射门,被防守球员封堵.给他传球的是利亚伊奇.                   25'开场25分钟，伊图尔韦膝盖扭伤，弗洛伦齐替补出场
28'鲁加尼将球处理出底线,罗马获得角球.                   25'开场25分钟，伊图尔韦膝盖扭伤，弗洛伦齐替补出场
57'进球啦！！！罗马球员麦孔大禁区右侧左脚射门,球从左下角飞进球门,球进了!助攻的是皮亚尼奇. 罗马 1-1 恩波利.                   57'罗马第57分钟追平，皮亚尼奇禁区边缘背身斜敲，麦孔右侧距门10米处左脚弧线球入远角，1比1，罗马连续4轮比分落后扳平
58'恩波利换人,辛宁斯基换下马卡罗内                   57'罗马第57分钟追平，皮亚尼奇禁区边缘背身斜敲，麦孔右侧距门10米处左脚弧线球入远角，1比1，罗马连续4轮比分落后扳平
58'鲁伊为恩波利赢得一个任意球.                   57'罗马第57分钟追平，皮亚尼奇禁区边缘背身斜敲，麦孔右侧距门10米处左脚弧线球入远角，1比1，罗马连续4轮比分落后扳平
58'罗马球员弗洛伦齐拼抢犯规,对手获得控球权.                   57'罗马第57分钟追平，皮亚尼奇禁区边缘背身斜敲，麦孔右侧距门10米处左脚弧线球入远角，1比1，罗马连续4轮比分落后扳平
58'黄牌！罗马球员弗洛伦齐因为恶意犯规,被主裁判出示黄牌.                   57'罗马第57分钟追平，皮亚尼奇禁区边缘背身斜敲，麦孔右侧距门10米处左脚弧线球入远角，1比1，罗马连续4轮比分落后扳平
59'射门!!!罗马球员利亚伊奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是纳因戈兰.                   57'罗马第57分钟追平，皮亚尼奇禁区边缘背身斜敲，麦孔右侧距门10米处左脚弧线球入远角，1比1，罗马连续4轮比分落后扳平
60'射门!!!罗马球员纳因戈兰大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是José Holebas.                   57'罗马第57分钟追平，皮亚尼奇禁区边缘背身斜敲，麦孔右侧距门10米处左脚弧线球入远角，1比1，罗马连续4轮比分落后扳平
68'恩波利球员鲁伊大禁区外左脚射门,被防守球员封堵.给他传球的是Manuel Pucciarelli.                   66'第66分钟，恩波利后卫鲁伊投诉皮亚尼奇无球状态下击打其肋部，但没有裁判看到，慢镜也都是远镜头，恩波利主帅萨里发泄不满，反被请上看台
68'雅尼加-姆比瓦将球处理出底线,恩波利获得角球.                   66'第66分钟，恩波利后卫鲁伊投诉皮亚尼奇无球状态下击打其肋部，但没有裁判看到，慢镜也都是远镜头，恩波利主帅萨里发泄不满，反被请上看台
69'罗马球员José Holebas大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   66'第66分钟，恩波利后卫鲁伊投诉皮亚尼奇无球状态下击打其肋部，但没有裁判看到，慢镜也都是远镜头，恩波利主帅萨里发泄不满，反被请上看台
69'恩波利球员辛宁斯基大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是维奇诺.                   66'第66分钟，恩波利后卫鲁伊投诉皮亚尼奇无球状态下击打其肋部，但没有裁判看到，慢镜也都是远镜头，恩波利主帅萨里发泄不满，反被请上看台
