1'上半场比赛开始！                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
1'皇马开球，从右向左进攻！                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
1'瓦拉内后场拿球，面对逼抢                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
1'回传库尔图瓦，大脚长传到前场                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
1'拉基蒂奇后场拿球，分球阿图尔                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
1'面对逼抢，回传朗格莱                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
2'再给布斯克茨，分球右路罗贝托                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
2'回传后场皮克，长传到前场                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
2'拉莫斯将球用拦截，给到马塞洛                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
2'直塞左侧伊斯科，带过中线                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
2'外脚背直塞身后找本泽马                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
2'边裁举旗，本泽马的越位在先！！                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
3'库蒂尼奥前场拿球强突，分球右路                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
3'罗贝托插上慢了点，球先出了边线                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
3'拉基蒂奇中场拿球，斜传左前场给阿尔巴                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
3'阿尔巴的内切横传，被卡塞米罗破坏                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
4'布斯克茨中场拿球，再送过顶打身后                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
4'库尔图瓦出击，将球没收！！                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
4'伊斯科后场拿球推进，拉基蒂奇的逼抢犯规                   1'巴萨第1分钟摆出积极姿态，皇马则采取守势应对
11'上半场10分钟，双方踢的还是比较小心，很稳啊                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
11'巴萨进球了！！1-0！                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
11'库蒂尼奥！！！                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
12'库蒂尼奥进球后，将球捡回来，扮起了孕妇庆祝！                   11'巴萨第11分钟取得领先，拉基蒂奇精准长传，阿尔巴左路突入禁区左侧下底回传，无人防守的库蒂尼奥小禁区前推射入网
