2'穆里尼奥也是坐在场边，拿出小本记录着什么                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
2'毕尔巴鄂中场的过顶长传，可惜穆尼安的前插被吹越位在先                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
3'毕尔巴鄂禁区外的直塞球找戈麦斯                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
3'拉莫斯卡住身位，将球解围出底线                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
3'毕尔巴鄂获得右侧角球机会                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
3'戈麦斯角球开出到禁区，第一点被皇马球员解围                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
4'佩佩后场拿球，直传球给到莫德里奇                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
4'莫德里奇拿球转身，横敲给到回来接应的厄齐尔                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
5'皇马前场进攻，拉莫斯过顶斜传球到禁区                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
5'C罗包抄，俯身冲顶，可惜顶偏了                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
5'C罗这次冲顶，也是冒着伤口被裂开的危险，硬汉一枚                   2'第2分钟，伊劳拉直传，戈麦斯禁区右侧的射门被佩佩封堵
5'皇马前场进攻，拉莫斯过顶斜传球到禁区                   5'第5分钟，摩德里奇传球，C-罗纳尔多右路内切后弧线球射门偏出远角
5'C罗包抄，俯身冲顶，可惜顶偏了                   5'第5分钟，摩德里奇传球，C-罗纳尔多右路内切后弧线球射门偏出远角
5'C罗这次冲顶，也是冒着伤口被裂开的危险，硬汉一枚                   5'第5分钟，摩德里奇传球，C-罗纳尔多右路内切后弧线球射门偏出远角
6'又是C罗，前场右路拿球横带，禁区右上角左脚抽射打飞                   5'第5分钟，摩德里奇传球，C-罗纳尔多右路内切后弧线球射门偏出远角
6'比赛一开始，双方的两个边路打的风生水起，都有下底的机会                   5'第5分钟，摩德里奇传球，C-罗纳尔多右路内切后弧线球射门偏出远角
7'游客6082:今晚没有电视直播啊？（没有哦，看新浪视频和图文吧，哈哈）                   5'第5分钟，摩德里奇传球，C-罗纳尔多右路内切后弧线球射门偏出远角
8'皇马前场进攻，C罗中路拿球，横拨给到卡列洪                   5'第5分钟，摩德里奇传球，C-罗纳尔多右路内切后弧线球射门偏出远角
8'卡列洪右脚的大力抽射，电梯球，伊拉佐兹倒地将球没收                   5'第5分钟，摩德里奇传球，C-罗纳尔多右路内切后弧线球射门偏出远角
12'不过裁判判给了毕尔巴鄂一个角球，认为戈麦斯的这脚打门碰在了佩佩角上出了底线                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
12'毕尔巴鄂的角球没有威胁                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
12'皇马的反击，破门啦                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
12'本泽马                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
13'皇马后场过顶长传球给到前场，本泽马反越位成功，胸部停球，禁区弧内面对对方后卫的上抢，一脚抽射得手                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
14'贝尔萨看着球队丢球了，也是蹲在了场边，眉头紧锁啊                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
14'毕尔巴鄂中场防守中，拉人犯规                   12'皇马第12分钟取得领先，摩德里奇长传，本泽马停球顺势继续突破，奥特内谢禁区弧内解围不慎吊过伊莱索斯自摆乌龙
