2'希顿大脚开出门球                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
2'伯恩利前场把球拿下来，德福右路转给洛顿                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
2'直塞到前面找古德蒙德森，在蒙雷亚尔的紧逼下球是出了边线                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
3'阿森纳的进攻，球打到禁区前沿，伯恩利解围不利索                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
3'左侧伊沃比跟上远射，打高了                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
4'伯恩利前场争顶下来，沃克斯摆渡给博伊德，右路贝莱林把球解围出边线                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
4'伯恩利界外球给出，穆斯塔菲后场大脚破坏                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
4'阿森纳推进，中场给到扎卡，右路贝莱林插上                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
5'前场连续的传递，禁区内374拿球，突然射门                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
5'后卫挡了一下，擦着门柱飞出底线，好险                   2'开场仅2分钟，迈克尔-基恩解围，伊沃比25码处的射门高出
49'切赫大脚开出门球                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
49'卡索拉把球卸下，在给扎卡                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
49'交给374，一记直塞给到禁区内                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
49'伊沃比摔倒了，裁判没有吹                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
49'右侧374在杀入禁区，倒地扫向门前，还是被解围                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
49'扎卡外围交给272，在给伊沃比，外围连续的渗透                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
50'贝莱林内切直塞，给到禁区，374这次摆脱了防守，禁区内一脚抽射，被希顿倒地没收                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
50'374这个球处理的非常好，转身射门一气呵成，但希顿的表现也很棒啊                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
51'阿森纳进攻再来，中路374反击给到小老虎                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
51'小老虎转身带了一步，远射轰高了                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
51'面对大巴，阿森纳确实有点头疼。而且周中欧冠也对体能有一定影响啊                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
52'希顿大脚开出，前场博伊德头球一点，德福中路推给亨德里克                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
52'亨德里克很远的位置，来一脚重炮，高了                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
52'阿森纳中场推进，左侧伊沃比给到中间的扎卡                   49'阿森纳第49分钟错失良机，贝莱林传球，桑切斯10码处的射门被希顿扑挡后没收
61'外围右侧交给洛顿，45度在吊，穆斯塔菲头球解围                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
61'伯恩利清一色的高举高打啊，还真有一套                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
62'场边要换人了，阿菲尔替下了德福。伯恩利先调整了                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
62'上场的是阿菲尔-阿尔弗雷德                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
62'阿森纳中场传递失误，右侧洛顿内切，在给亨德里克                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
63'左侧沃德上来，吊向禁区后点，被解围                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
63'272反击给到左侧，伊沃比被马尔尼一脚踢翻在地                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
63'进攻有利，裁判没吹，桑切斯下底传中，被挡出                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
64'禁区前沿374突破，分给左侧272，272禁区左侧小角度爆射，打飞                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
64'慢镜头再次给到马尔尼刚才的战术犯规，应该是补黄牌的，但是手下留情了                   61'伯恩利也展开反击并险些破门，第61分钟，沃德传中远点，格维兹门松力压蒙雷亚尔头球攻门被切赫扑出
