15'卡查尔为汉堡在对方半场,赢得一个任意球.                   15'这是巴黎恐袭后首场德甲，由于球场外交通堵塞，比赛推迟15分钟开球
15'多特蒙德球员京多安拼抢犯规,对手获得控球权.                   15'这是巴黎恐袭后首场德甲，由于球场外交通堵塞，比赛推迟15分钟开球
16'汉堡球员伊利切维奇大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉索加.                   15'这是巴黎恐袭后首场德甲，由于球场外交通堵塞，比赛推迟15分钟开球
17'汉堡球员伊利切维奇拼抢犯规,对手获得控球权.                   15'这是巴黎恐袭后首场德甲，由于球场外交通堵塞，比赛推迟15分钟开球
17'金特尔为多特蒙德在对方半场,赢得一个任意球.                   15'这是巴黎恐袭后首场德甲，由于球场外交通堵塞，比赛推迟15分钟开球
18'汉堡球员拉索加拼抢犯规,对手获得控球权.                   15'这是巴黎恐袭后首场德甲，由于球场外交通堵塞，比赛推迟15分钟开球
18'魏格尔为多特蒙德在对方半场,赢得一个任意球.                   15'这是巴黎恐袭后首场德甲，由于球场外交通堵塞，比赛推迟15分钟开球
18'点球,伊利切维奇在禁区内被侵犯,汉堡获得点球.                   15'这是巴黎恐袭后首场德甲，由于球场外交通堵塞，比赛推迟15分钟开球
18'多特蒙德球员博尔基犯规,致使对方获得点球.                   15'这是巴黎恐袭后首场德甲，由于球场外交通堵塞，比赛推迟15分钟开球
48'多特蒙德球员施梅尔策大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是京多安.                   46'第1分钟，多人参加了国家队比赛的大黄蜂有些进攻不畅，汉堡前15分钟控球不到4成，但显得更加兴奋
49'尼古拉-穆勒为汉堡赢得一个任意球.                   46'第1分钟，多人参加了国家队比赛的大黄蜂有些进攻不畅，汉堡前15分钟控球不到4成，但显得更加兴奋
49'多特蒙德球员卡斯特罗拼抢犯规,对手获得控球权.                   46'第1分钟，多人参加了国家队比赛的大黄蜂有些进攻不畅，汉堡前15分钟控球不到4成，但显得更加兴奋
41'进球啦！！！汉堡球员霍尔特比大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是尼古拉-穆勒. 汉堡 2-0 多特蒙德.                   41'第41分钟，汉堡打出反击，N-穆勒中路吸引防守后分球，霍尔特比突入禁区右侧距门8米处推进远角，多特0比2落后
43'汉堡球员伊利切维奇手球犯规,对手获得球权.                   41'第41分钟，汉堡打出反击，N-穆勒中路吸引防守后分球，霍尔特比突入禁区右侧距门8米处推进远角，多特0比2落后
55'多特蒙德球员胡梅尔斯自摆乌龙,汉堡 3-0 多特蒙德                   55'但汉堡第55分钟再添一分，霍尔特比右侧开出角球，胡梅尔斯在门前5米处不可思议顶出弹地球入本方球门，3比0
86'进球啦！！！多特蒙德球员奥巴梅扬大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是亚努扎伊. 汉堡 3-1 多特蒙德.                   86'第86分钟，贾努扎伊直传，奥巴梅扬在门前9米处铲射入右下角，1比3，这是他本赛季俱乐部第23球，本赛季德甲参与18球，排名5大联赛首位(只计联赛进球+助攻)，多特延续了本赛季23场正式比赛均有进球的记录
89'Cléber将球处理出底线,多特蒙德获得角球.                   86'第86分钟，贾努扎伊直传，奥巴梅扬在门前9米处铲射入右下角，1比3，这是他本赛季俱乐部第23球，本赛季德甲参与18球，排名5大联赛首位(只计联赛进球+助攻)，多特延续了本赛季23场正式比赛均有进球的记录
89'多特蒙德球员姆希塔良大禁区左侧尝试右脚射门,可惜皮球高出右上角球门.                   86'第86分钟，贾努扎伊直传，奥巴梅扬在门前9米处铲射入右下角，1比3，这是他本赛季俱乐部第23球，本赛季德甲参与18球，排名5大联赛首位(只计联赛进球+助攻)，多特延续了本赛季23场正式比赛均有进球的记录
