2'鲁能泰山队长传球，好机会啊！！！吕征反越位，可惜把球带大了                   2'第2分钟，鲁能队后场送出长传球，吕征反越位拿球，可惜把球带大了
3'詹姆斯中场接球突破，金敬道防守犯规                   2'第2分钟，鲁能队后场送出长传球，吕征反越位拿球，可惜把球带大了
3'任意球发出来，辽宁宏运队长传禁区，鲁能泰山队断球反击                   2'第2分钟，鲁能队后场送出长传球，吕征反越位拿球，可惜把球带大了
4'金敬道长传前场，洛夫没能接好，主裁判哨响，金敬道被侵犯                   2'第2分钟，鲁能队后场送出长传球，吕征反越位拿球，可惜把球带大了
4'任意球发出来，詹姆斯突破，金敬道有拉人动作啊                   2'第2分钟，鲁能队后场送出长传球，吕征反越位拿球，可惜把球带大了
4'鲁能泰山队把球破坏出底线，角球                   2'第2分钟，鲁能队后场送出长传球，吕征反越位拿球，可惜把球带大了
4'肇俊哲发角球到前场，对方头球解围                   2'第2分钟，鲁能队后场送出长传球，吕征反越位拿球，可惜把球带大了
4'金敬道长传前场，洛夫没能接好，主裁判哨响，金敬道被侵犯                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
4'任意球发出来，詹姆斯突破，金敬道有拉人动作啊                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
4'鲁能泰山队把球破坏出底线，角球                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
4'肇俊哲发角球到前场，对方头球解围                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
6'前场辽宁宏运队断球挑传禁区，詹姆斯越位                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
6'孙世林外围一脚远射，没能踢正，碰到对方出底线，角球                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
6'肇俊哲发角球到禁区内，杨程出击把球摘下来                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
7'王永珀左路接球，对方破坏                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
7'王永珀左路接球，横传给金敬道                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
7'罗森文外围一脚远射，碰到洛夫变线，刘洋没收                   4'第4分钟，辽宁队获得第1分钟第一个角球机会，肇俊哲发出角球到前场，鲁能队抢到第一点头球解围
8'吕征右路突破横传，对方把球破坏出底线，鲁能泰山队得到角球机会                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
8'王永珀发出战术角球，洛夫想转身过人，被沙夫卡特把球破坏                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
8'鲁能泰山队继续角球机会                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
8'角球发前点，对方把球破坏出来                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
8'鲁能泰山队在前场再传禁区，被断                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
9'洛夫左路突破没能成功，对方两人关门                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
9'吕征右路接球横向突破传中，被吴高俊挡出底线                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
10'角球发到前点！！洛夫头球攻门！偏了                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
10'后场鲁能泰山队断球右路进攻                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
10'吕征横向带球突破直传禁区，被对方破坏                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
11'罗森文前场断球，分到右路，吕征横传被吴高俊挡出边线                   8'第8分钟，鲁能队进攻，吕征右路突破横传，辽宁队把球破坏出底线，鲁能队得到角球机会，王永珀发出战术角球，洛维想转身过人，被沙夫卡特把球破坏
14'马塞纳突破到禁区内，可以打门了啊！！！传球时吕征明显越位                   14'第14分钟，马塞纳突破到禁区内传球，吕征处于越位的位置
15'杜威防守犯规，送给了辽宁宏运队前场任意球机会                   14'第14分钟，马塞纳突破到禁区内传球，吕征处于越位的位置
16'任意球发出来，辽宁宏运队传禁区，詹姆斯抢点头球顶门，被挡出底线                   14'第14分钟，马塞纳突破到禁区内传球，吕征处于越位的位置
16'辽宁宏运队得到角球机会                   14'第14分钟，马塞纳突破到禁区内传球，吕征处于越位的位置
16'肇俊哲发角球到禁区内，杨程出击把球打出                   14'第14分钟，马塞纳突破到禁区内传球，吕征处于越位的位置
17'中场辽宁宏运队断球长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被挡出                   14'第14分钟，马塞纳突破到禁区内传球，吕征处于越位的位置
17'刘金东立功啦！                   14'第14分钟，马塞纳突破到禁区内传球，吕征处于越位的位置
17'中场辽宁宏运队断球长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被挡出                   17'第17分钟，辽宁队中场断球后长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被刘金东挡出
17'刘金东立功啦！                   17'第17分钟，辽宁队中场断球后长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被刘金东挡出
18'杨善平后场得球，右路大脚长传                   17'第17分钟，辽宁队中场断球后长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被刘金东挡出
18'郑涛挑传禁区，没有队员跟上                   17'第17分钟，辽宁队中场断球后长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被刘金东挡出
18'詹姆斯左路带球突破，刘金东绕前把球抢断下来并破坏出边线                   17'第17分钟，辽宁队中场断球后长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被刘金东挡出
20'后场辽宁宏运队横传，到右路挑传前场                   17'第17分钟，辽宁队中场断球后长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被刘金东挡出
20'杜威把球控下来分到左路，埃杜争抢犯规                   17'第17分钟，辽宁队中场断球后长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被刘金东挡出
20'罗森文在前场左路争抢推倒了金泰延                   17'第17分钟，辽宁队中场断球后长传，詹姆斯分球到右路，金泰延右路横传，肇俊哲抢点打门被刘金东挡出
23'界外球发出来，辽宁宏运队左路横传，被头球解围                   23'第23分钟，王永珀左路强突到大禁区线上，杨善平背后犯规，鲁能队任意球机会，王永珀主罚把球传到后点，被辽宁队头球解围
23'王永珀左路强突，到大禁区线上，杨善平背后犯规                   23'第23分钟，王永珀左路强突到大禁区线上，杨善平背后犯规，鲁能队任意球机会，王永珀主罚把球传到后点，被辽宁队头球解围
23'鲁能泰山队前场左翼大禁区附近的任意球机会                   23'第23分钟，王永珀左路强突到大禁区线上，杨善平背后犯规，鲁能队任意球机会，王永珀主罚把球传到后点，被辽宁队头球解围
24'王永珀把球传到后点，对方头球解围                   23'第23分钟，王永珀左路强突到大禁区线上，杨善平背后犯规，鲁能队任意球机会，王永珀主罚把球传到后点，被辽宁队头球解围
24'辽宁宏运队长传球，金泰延在前场右路抢球出界                   23'第23分钟，王永珀左路强突到大禁区线上，杨善平背后犯规，鲁能队任意球机会，王永珀主罚把球传到后点，被辽宁队头球解围
25'王彤边路传中，对方把球破坏出底线，角球                   23'第23分钟，王永珀左路强突到大禁区线上，杨善平背后犯规，鲁能队任意球机会，王永珀主罚把球传到后点，被辽宁队头球解围
25'有现场的球迷扔矿泉水瓶到场内！主裁判示意他到另一侧发角球                   23'第23分钟，王永珀左路强突到大禁区线上，杨善平背后犯规，鲁能队任意球机会，王永珀主罚把球传到后点，被辽宁队头球解围
26'角球发到禁区内，刘洋把球摘下来                   23'第23分钟，王永珀左路强突到大禁区线上，杨善平背后犯规，鲁能队任意球机会，王永珀主罚把球传到后点，被辽宁队头球解围
28'金敬道右路突破被断，辽宁宏运队左路传中场，被鲁能泰山队抢断                   28'第28分钟，鲁能队金敬道右路突破被断，辽宁队左路传中场，被鲁能队断下
28'洛夫右路突破被断                   28'第28分钟，鲁能队金敬道右路突破被断，辽宁队左路传中场，被鲁能队断下
29'辽宁宏运队右路横传禁区，詹姆斯到位，被对方铲出底线                   28'第28分钟，鲁能队金敬道右路突破被断，辽宁队左路传中场，被鲁能队断下
29'辽宁宏运队得到角球机会                   28'第28分钟，鲁能队金敬道右路突破被断，辽宁队左路传中场，被鲁能队断下
29'肇俊哲发角球到禁区内前点，埃杜头球顶门偏出                   28'第28分钟，鲁能队金敬道右路突破被断，辽宁队左路传中场，被鲁能队断下
31'金敬道受伤倒在地上，但鲁能泰山队并没有停止进攻                   28'第28分钟，鲁能队金敬道右路突破被断，辽宁队左路传中场，被鲁能队断下
31'金敬道受伤倒在地上，但鲁能泰山队并没有停止进攻                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
32'洛夫突破到禁区内打门，被刘洋没收                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
32'场上的火药味浓了起来，双方发生了一些争执                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
32'主裁判哨响，追加了鲁能泰山队一个任意球机会                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
33'王永珀发任意球直接打门，打在人墙上                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
33'郑铮左路斜传禁区，对方控球反击                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
33'詹姆斯左路带球进攻到前场，被对方前堵后追把球抢断下来                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
34'前场辽宁宏运队断球，直传禁区，特里夫诺维奇越位                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
34'郑铮后场右路拿球，王永珀抢球犯规                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
34'王永珀的动作确实有些大。                   31'第31分钟，鲁能队右路一连串配合后直塞到禁区内，刘D把球拿到，裁判认为辽宁队之前有犯规给了鲁能队一个定位球机会 王永珀任意球直接攻门打到人墙上弹出
36'王彤发出界外球，吴高俊破坏                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
36'罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射，险些破门                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
36'刘洋扑倒在地，没能碰到球，偏出底线                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
37'詹姆斯左路带球突破，被三人包夹把球抢断                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
37'吴高俊在前场抢球犯规                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
38'王彤大脚开球到前场，对方顶下来到了马塞纳脚下                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
38'王永珀右路突破没能成功，把球回传                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
39'郑铮左路横传，洛夫分右路，王永珀斜传门将，金敬道居然到位，被刘洋破坏出底线                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
39'鲁能泰山队得到角球机会                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
39'王永珀发出战术角球，洛夫右路斜传禁区后点，大了些                   36'第36分钟，罗森文右路突破横传，王永珀接球横传，罗森文外围一脚大力远射偏出，非常有威胁
42'吕征发任意球直接打门，又打在人墙上                   42'第42分钟，鲁能队获得任意球机会，吕征罚任意球直接打门打在了人墙上
42'金敬道左路接球，回传杨程                   42'第42分钟，鲁能队获得任意球机会，吕征罚任意球直接打门打在了人墙上
