1'卡瓦略一声哨响，上半场比赛开始了                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
1'奥林匹亚科斯率先开球，他们从画面的右侧向左侧来进攻                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
1'拜仁则是从左向右进攻                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
2'奥林匹亚科斯右路的进攻，抢断很积极                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
2'险些断下阿拉巴的脚下球                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
2'拜仁沿着边线进攻，给科斯塔                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
3'科斯塔速度很快，禁区前沿莱万做球，穆勒一脚射门被挡住                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
4'奥林匹亚左路进攻，埃德耶单挑博阿滕                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
4'埃德耶一个加速被博阿滕铲出边线                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
4'手榴弹的大力界外球，禁区内制造杀机，后点包抄的坎比亚索没有争过阿拉巴                   1'第1分钟，希腊球迷声势震天，但场上局势波澜不惊
26'坎比亚索为自己的火爆脾气付出了代价                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
26'拜仁的进攻还是走左路给科斯塔                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
26'科斯塔面对拉维，强突进去，拉维无奈，只能犯规战术                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
26'拉维也吃到黄牌                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
27'大禁区外左侧的定位球阿隆索来主罚                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
27'阿隆索给到禁区后点，莱万已经摆脱了防守，头球砸近角                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
28'罗伯托扑救不及了，但后卫在门线上把球解围，好险                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
28'右路拉姆助攻上前，给到中间的穆勒                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
28'穆勒背对球门做球给阿隆索，阿隆索跟进的劲射，稍稍偏出左门柱                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
28'拜仁渐渐展露攻势                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
29'萨林诺右路得球，胸部一停，比达尔伸腿犯规                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
29'奥林匹亚科斯的右路进攻                   26'第26分钟，阿隆索左侧开出任意球，莱万后点距门6米处头球攻门，门将罗伯托和后卫西奥瓦斯联手门线救险
51'拉姆重新分给阿隆索，阿隆索禁区外把球搓进去                   51'下半时开始6分钟，比达尔分球，穆勒右侧距门30米处出其不意直接吊射，球越过门将罗伯托飞进远角，1比0，穆勒连续3个欧冠进球都是禁区外打进
51'比达尔插上头球摆渡到弧顶处，穆勒跟进的凌空打门，偏了                   51'下半时开始6分钟，比达尔分球，穆勒右侧距门30米处出其不意直接吊射，球越过门将罗伯托飞进远角，1比0，穆勒连续3个欧冠进球都是禁区外打进
51'右路拉姆交给蒂亚戈，蒂亚戈直塞给下底的穆勒                   51'下半时开始6分钟，比达尔分球，穆勒右侧距门30米处出其不意直接吊射，球越过门将罗伯托飞进远角，1比0，穆勒连续3个欧冠进球都是禁区外打进
52'穆勒倒三角传中，禁区内拉维把球挡出                   51'下半时开始6分钟，比达尔分球，穆勒右侧距门30米处出其不意直接吊射，球越过门将罗伯托飞进远角，1比0，穆勒连续3个欧冠进球都是禁区外打进
52'拜仁终于破门了                   51'下半时开始6分钟，比达尔分球，穆勒右侧距门30米处出其不意直接吊射，球越过门将罗伯托飞进远角，1比0，穆勒连续3个欧冠进球都是禁区外打进
52'穆勒鬼魅一击，打破僵局                   51'下半时开始6分钟，比达尔分球，穆勒右侧距门30米处出其不意直接吊射，球越过门将罗伯托飞进远角，1比0，穆勒连续3个欧冠进球都是禁区外打进
54'蒂亚戈中路得球，分边给穆勒，穆勒右路45度角得球，大家都以为他会传中，但二娃硬生生的用脚弓推出一记吊射，越过身材高大的罗伯托飞入顶角                   51'下半时开始6分钟，比达尔分球，穆勒右侧距门30米处出其不意直接吊射，球越过门将罗伯托飞进远角，1比0，穆勒连续3个欧冠进球都是禁区外打进
54'穆勒6场比赛已经攻入7球了，各项赛事都不甘寂寞啊，二娃要抢最佳射手吗                   51'下半时开始6分钟，比达尔分球，穆勒右侧距门30米处出其不意直接吊射，球越过门将罗伯托飞进远角，1比0，穆勒连续3个欧冠进球都是禁区外打进
83'这是对位的换人，派上生力军，最后时刻冲击一下                   83'主队第83分钟几乎扳平，球打在阿拉巴背上弹向禁区中路，萨利诺在门前12米处左脚抽射偏出近门柱
83'有机会啊，奥林匹亚科斯                   83'主队第83分钟几乎扳平，球打在阿拉巴背上弹向禁区中路，萨利诺在门前12米处左脚抽射偏出近门柱
84'奥林匹亚科斯右侧的长传，禁区边缘埃德耶拼抢头球没顶到，却打在了蒂亚戈后背弹到萨林诺面前                   83'主队第83分钟几乎扳平，球打在阿拉巴背上弹向禁区中路，萨利诺在门前12米处左脚抽射偏出近门柱
84'萨林诺杀入禁区，一记低射打近角，打在边网上，可惜了                   83'主队第83分钟几乎扳平，球打在阿拉巴背上弹向禁区中路，萨利诺在门前12米处左脚抽射偏出近门柱
84'今天萨林诺的表现非常出色，他是被侵犯次数最多的球员                   83'主队第83分钟几乎扳平，球打在阿拉巴背上弹向禁区中路，萨利诺在门前12米处左脚抽射偏出近门柱
85'科斯塔和科曼来了一个换位，科斯塔来到左侧，科曼去了右路                   83'主队第83分钟几乎扳平，球打在阿拉巴背上弹向禁区中路，萨利诺在门前12米处左脚抽射偏出近门柱
86'科曼替下莱万的这个做法目前看比较值得商榷，科曼在边路没有给出有力的表现                   83'主队第83分钟几乎扳平，球打在阿拉巴背上弹向禁区中路，萨利诺在门前12米处左脚抽射偏出近门柱
86'反倒不如莱万在中锋的位置上能够牵扯更多的防守注意力                   83'主队第83分钟几乎扳平，球打在阿拉巴背上弹向禁区中路，萨利诺在门前12米处左脚抽射偏出近门柱
