1'戈比将球处理出底线,罗马获得角球.                   1'开场不到1分钟，托蒂开出角球，弗洛伦齐禁区边缘劲射高出
1'罗马球员弗洛伦齐大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是托蒂.                   1'开场不到1分钟，托蒂开出角球，弗洛伦齐禁区边缘劲射高出
2'罗马球员弗洛伦齐危险动作,对手获得控球权.                   1'开场不到1分钟，托蒂开出角球，弗洛伦齐禁区边缘劲射高出
2'贝纳卢安为帕尔马在对方半场,赢得一个任意球.                   1'开场不到1分钟，托蒂开出角球，弗洛伦齐禁区边缘劲射高出
15'罗马球员佩罗塔大禁区中央右脚射门,命中门柱横梁.给他传球的是马基尼奥.                   15'第15分钟，马基尼奥左路突破传球，托蒂背身脚后跟妙传，马基尼奥突入禁区左侧回敲，佩罗塔点球点抽射击中横梁
15'射门!!!帕尔马球员阿毛里大禁区外右脚射门,被对方守门员横身扑出.给他传球的是萨帕塔.                   15'第15分钟，马基尼奥左路突破传球，托蒂背身脚后跟妙传，马基尼奥突入禁区左侧回敲，佩罗塔点球点抽射击中横梁
33'射门!!!罗马球员拉梅拉大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是弗洛伦齐.                   33'第33分钟，拉梅拉反击突入禁区左脚射门被米兰特出击化解，佩罗塔补射被后卫阻截
33'罗马球员佩罗塔大禁区中央右脚射门,被防守球员封堵.                   33'第33分钟，拉梅拉反击突入禁区左脚射门被米兰特出击化解，佩罗塔补射被后卫阻截
33'桑索为帕尔马赢得一个任意球.                   33'第33分钟，拉梅拉反击突入禁区左脚射门被米兰特出击化解，佩罗塔补射被后卫阻截
33'罗马球员塔赫特西迪斯拼抢犯规,对手获得控球权.                   33'第33分钟，拉梅拉反击突入禁区左脚射门被米兰特出击化解，佩罗塔补射被后卫阻截
35'帕尔马球员帕罗洛大禁区外右脚射门,被防守球员封堵.给他传球的是萨帕塔.                   33'第33分钟，拉梅拉反击突入禁区左脚射门被米兰特出击化解，佩罗塔补射被后卫阻截
35'布尔迪索将球处理出底线,帕尔马获得角球.                   33'第33分钟，拉梅拉反击突入禁区左脚射门被米兰特出击化解，佩罗塔补射被后卫阻截
35'帕尔马球员桑索小禁区左侧尝试头球,可惜皮球稍稍高出球门.给他传球的是帕雷塔.                   33'第33分钟，拉梅拉反击突入禁区左脚射门被米兰特出击化解，佩罗塔补射被后卫阻截
47'黄牌！帕尔马球员阿里安度-罗西因为恶意犯规,被主裁判出示黄牌.                   47'下半时开始2分钟，托蒂左侧大力任意球击中远端横梁下沿，再碰门柱内侧砸在球门线上
47'罗马球员托蒂左侧很远处右脚射门,命中门柱横梁.                   47'下半时开始2分钟，托蒂左侧大力任意球击中远端横梁下沿，再碰门柱内侧砸在球门线上
48'桑索将球处理出底线,罗马获得角球.                   47'下半时开始2分钟，托蒂左侧大力任意球击中远端横梁下沿，再碰门柱内侧砸在球门线上
49'阿毛里为帕尔马赢得一个任意球.                   47'下半时开始2分钟，托蒂左侧大力任意球击中远端横梁下沿，再碰门柱内侧砸在球门线上
49'罗马球员马基尼奥斯拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，托蒂左侧大力任意球击中远端横梁下沿，再碰门柱内侧砸在球门线上
50'帕尔马球员阿里安度-罗西拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，托蒂左侧大力任意球击中远端横梁下沿，再碰门柱内侧砸在球门线上
50'马基尼奥为罗马赢得一个任意球.                   47'下半时开始2分钟，托蒂左侧大力任意球击中远端横梁下沿，再碰门柱内侧砸在球门线上
58'帕尔马换人,比亚比亚尼换下安普埃罗                   58'第58分钟，托蒂开出角球，弗洛伦齐凌空打高
58'阿里安度-罗西将球处理出底线,罗马获得角球.                   58'第58分钟，托蒂开出角球，弗洛伦齐凌空打高
