4'库奇卡为热那亚在对方半场,赢得一个任意球.                   4'开场4分钟，马图扎伦传球，因莫比莱头球偏出
4'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   4'开场4分钟，马图扎伦传球，因莫比莱头球偏出
4'热那亚球员伊莫莱比大禁区中央尝试头球,可惜皮球偏出球门.给他传球的是马图扎伦.                   4'开场4分钟，马图扎伦传球，因莫比莱头球偏出
5'曼弗雷蒂尼将球处理出底线,尤文图斯获得角球.                   4'开场4分钟，马图扎伦传球，因莫比莱头球偏出
6'热那亚球员伊莫莱比手球犯规,对手获得球权.                   4'开场4分钟，马图扎伦传球，因莫比莱头球偏出
7'尤文图斯球员马尔基西奥一脚直塞球给利西斯泰纳,但是边裁举旗显示后者已经越位.                   4'开场4分钟，马图扎伦传球，因莫比莱头球偏出
13'热那亚球员皮萨诺大禁区中央尝试左脚射门,可惜皮球偏出球门.                   13'第13分钟，热那亚左侧开出角球，武齐尼奇疑似手臂触球，皮萨诺左脚打高，热那亚队员索要点球，主裁判圭达不予理会
14'尤文图斯球员武齐尼奇大禁区左侧左脚射门,被防守球员封堵.给他传球的是博切列.                   13'第13分钟，热那亚左侧开出角球，武齐尼奇疑似手臂触球，皮萨诺左脚打高，热那亚队员索要点球，主裁判圭达不予理会
15'安东内利将球处理出底线,尤文图斯获得角球.                   13'第13分钟，热那亚左侧开出角球，武齐尼奇疑似手臂触球，皮萨诺左脚打高，热那亚队员索要点球，主裁判圭达不予理会
15'尤文图斯球员卡塞雷斯大禁区中央尝试右脚射门,可惜皮球偏出球门.给他传球的是武齐尼奇.                   13'第13分钟，热那亚左侧开出角球，武齐尼奇疑似手臂触球，皮萨诺左脚打高，热那亚队员索要点球，主裁判圭达不予理会
22'尤文图斯球员马尔基西奥大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是博格巴.                   22'第22分钟，博格巴假射真传搓给马尔基西奥，马尔基西奥在门前22米处扫射打在底线裁判身上弹回场内，圭达还是判了球门球
24'库奇卡为热那亚赢得一个任意球.                   22'第22分钟，博格巴假射真传搓给马尔基西奥，马尔基西奥在门前22米处扫射打在底线裁判身上弹回场内，圭达还是判了球门球
24'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   22'第22分钟，博格巴假射真传搓给马尔基西奥，马尔基西奥在门前22米处扫射打在底线裁判身上弹回场内，圭达还是判了球门球
25'热那亚球员马图扎伦拼抢犯规,对手获得控球权.                   22'第22分钟，博格巴假射真传搓给马尔基西奥，马尔基西奥在门前22米处扫射打在底线裁判身上弹回场内，圭达还是判了球门球
25'夸利亚雷拉为尤文图斯在对方半场,赢得一个任意球.                   22'第22分钟，博格巴假射真传搓给马尔基西奥，马尔基西奥在门前22米处扫射打在底线裁判身上弹回场内，圭达还是判了球门球
25'热那亚球员格兰奎斯特拼抢犯规,对手获得控球权.                   22'第22分钟，博格巴假射真传搓给马尔基西奥，马尔基西奥在门前22米处扫射打在底线裁判身上弹回场内，圭达还是判了球门球
25'马尔基西奥为尤文图斯在对方半场,赢得一个任意球.                   22'第22分钟，博格巴假射真传搓给马尔基西奥，马尔基西奥在门前22米处扫射打在底线裁判身上弹回场内，圭达还是判了球门球
25'黄牌！热那亚球员格兰奎斯特因为恶意犯规,被主裁判出示黄牌.                   22'第22分钟，博格巴假射真传搓给马尔基西奥，马尔基西奥在门前22米处扫射打在底线裁判身上弹回场内，圭达还是判了球门球
33'马图扎伦为热那亚赢得一个任意球.                   33'第33分钟，弗洛雷斯左路垫给因莫比莱，因莫比莱在门前24米外外脚背凌空抽射偏出
33'尤文图斯球员武齐尼奇拼抢犯规,对手获得控球权.                   33'第33分钟，弗洛雷斯左路垫给因莫比莱，因莫比莱在门前24米外外脚背凌空抽射偏出
33'热那亚球员伊莫莱比大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是弗洛雷斯.                   33'第33分钟，弗洛雷斯左路垫给因莫比莱，因莫比莱在门前24米外外脚背凌空抽射偏出
36'热那亚球员鲁本-奥利维拉手球犯规,对手获得球权.                   33'第33分钟，弗洛雷斯左路垫给因莫比莱，因莫比莱在门前24米外外脚背凌空抽射偏出
44'热那亚球员鲁本-奥利维拉拼抢犯规,对手获得控球权.                   44'第44分钟，利希施泰纳右路传中，夸利亚雷拉抢在后卫前面，距门8米处脚尖垫射偏出远门柱
44'博格巴为尤文图斯在对方半场,赢得一个任意球.                   44'第44分钟，利希施泰纳右路传中，夸利亚雷拉抢在后卫前面，距门8米处脚尖垫射偏出远门柱
44'尤文图斯球员夸利亚雷拉大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是利西斯泰纳.                   44'第44分钟，利希施泰纳右路传中，夸利亚雷拉抢在后卫前面，距门8米处脚尖垫射偏出远门柱
45'鲁本-奥利维拉为热那亚赢得一个任意球.                   44'第44分钟，利希施泰纳右路传中，夸利亚雷拉抢在后卫前面，距门8米处脚尖垫射偏出远门柱
45'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   44'第44分钟，利希施泰纳右路传中，夸利亚雷拉抢在后卫前面，距门8米处脚尖垫射偏出远门柱
45'+1'上半场结束,尤文图斯 0-0 热那亚,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，利希施泰纳右路传中，夸利亚雷拉抢在后卫前面，距门8米处脚尖垫射偏出远门柱
54'进球啦！！！尤文图斯球员夸利亚雷拉球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是利西斯泰纳. 尤文图斯 1-0 热那亚.                   54'尤文第54分钟打破僵局
55'热那亚球员库奇卡拼抢犯规,对手获得控球权.                   54'尤文第54分钟打破僵局
55'卡塞雷斯为尤文图斯赢得一个任意球.                   54'尤文第54分钟打破僵局
56'莫雷蒂为热那亚赢得一个任意球.                   54'尤文第54分钟打破僵局
56'尤文图斯球员夸利亚雷拉拼抢犯规,对手获得控球权.                   54'尤文第54分钟打破僵局
64'射门!!!尤文图斯球员武齐尼奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是夸利亚雷拉.                   64'第64分钟，武齐尼奇禁区外起脚被弗雷轻松得到
64'热那亚球员博列洛拼抢犯规,对手获得控球权.                   64'第64分钟，武齐尼奇禁区外起脚被弗雷轻松得到
64'利西斯泰纳为尤文图斯赢得一个任意球.                   64'第64分钟，武齐尼奇禁区外起脚被弗雷轻松得到
64'黄牌！热那亚球员博列洛因为恶意犯规,被主裁判出示黄牌.                   64'第64分钟，武齐尼奇禁区外起脚被弗雷轻松得到
65'尤文图斯球员博切列一脚直塞球给武齐尼奇,但是边裁举旗显示后者已经越位.                   64'第64分钟，武齐尼奇禁区外起脚被弗雷轻松得到
66'热那亚换人,马尔科-罗西换下曼弗雷蒂尼                   64'第64分钟，武齐尼奇禁区外起脚被弗雷轻松得到
66'尤文图斯球员巴尔扎利一脚直塞球给武齐尼奇,但是边裁举旗显示后者已经越位.                   64'第64分钟，武齐尼奇禁区外起脚被弗雷轻松得到
67'热那亚球员博列洛手球犯规,对手获得球权.                   64'第64分钟，武齐尼奇禁区外起脚被弗雷轻松得到
68'进球啦！！！热那亚球员博列洛球门线跟前头球,球从左下角飞进球门,球进了!助攻的是库奇卡. 尤文图斯 1-1 热那亚.                   68'热那亚第68分钟追平比分
69'尤文图斯换人,乔文科换下夸利亚雷拉                   68'热那亚第68分钟追平比分
74'射门!!!尤文图斯球员利西斯泰纳大禁区外左脚射门,被对方守门员横身扑出.给他传球的是乔文科.                   74'第74分钟，利希斯泰纳拿球反击距门25米处左脚抽射被弗雷倒地封出
74'热那亚球员博列洛拼抢犯规,对手获得控球权.                   74'第74分钟，利希斯泰纳拿球反击距门25米处左脚抽射被弗雷倒地封出
74'利西斯泰纳为尤文图斯在右路,赢得一个任意球.                   74'第74分钟，利希斯泰纳拿球反击距门25米处左脚抽射被弗雷倒地封出
74'热那亚球员安东内利被主裁判出示了一张黄牌.                   74'第74分钟，利希斯泰纳拿球反击距门25米处左脚抽射被弗雷倒地封出
76'皮萨诺将球处理出底线,尤文图斯获得角球.                   74'第74分钟，利希斯泰纳拿球反击距门25米处左脚抽射被弗雷倒地封出
77'尤文图斯球员乔文科大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是贾凯里尼.                   74'第74分钟，利希斯泰纳拿球反击距门25米处左脚抽射被弗雷倒地封出
81'热那亚球员格兰奎斯特拼抢犯规,对手获得控球权.                   80'第80分钟，贾凯里尼左路传中，武齐尼奇后点飞身抢点，在身后安东内利拉扯下没碰到球，但没能获得点球，他向底线裁判提出抗议
81'贾凯里尼为尤文图斯在对方半场,赢得一个任意球.                   80'第80分钟，贾凯里尼左路传中，武齐尼奇后点飞身抢点，在身后安东内利拉扯下没碰到球，但没能获得点球，他向底线裁判提出抗议
82'尤文图斯球员乔文科大禁区外右脚射门,命中门柱左侧立柱.                   80'第80分钟，贾凯里尼左路传中，武齐尼奇后点飞身抢点，在身后安东内利拉扯下没碰到球，但没能获得点球，他向底线裁判提出抗议
82'尤文图斯球员博格巴一脚直塞球给乔文科,但是边裁举旗显示后者已经越位.                   80'第80分钟，贾凯里尼左路传中，武齐尼奇后点飞身抢点，在身后安东内利拉扯下没碰到球，但没能获得点球，他向底线裁判提出抗议
82'尤文图斯换人,Stefano Beltrame换下马尔基西奥                   80'第80分钟，贾凯里尼左路传中，武齐尼奇后点飞身抢点，在身后安东内利拉扯下没碰到球，但没能获得点球，他向底线裁判提出抗议
87'尤文图斯球员乔文科一脚直塞球给武齐尼奇,但是边裁举旗显示后者已经越位.                   85'第85分钟，尤文前场抢断，贝尔特拉梅拿球突至门前25米处大力抽射被弗雷击出
88'格兰奎斯特将球处理出底线,尤文图斯获得角球.                   85'第85分钟，尤文前场抢断，贝尔特拉梅拿球突至门前25米处大力抽射被弗雷击出
