1'上半场开始了                   1'曼城第1分钟控制比赛
1'曼城先开球                   1'曼城第1分钟控制比赛
2'沃克中场右侧拿球被绊倒犯规！                   1'曼城第1分钟控制比赛
2'马赫雷斯中路直接射门！                   1'曼城第1分钟控制比赛
2'球被门将拿到！                   1'曼城第1分钟控制比赛
3'斯特林左侧得球！                   1'曼城第1分钟控制比赛
3'短传大卫-席尔瓦！                   1'曼城第1分钟控制比赛
3'交给京多安！                   1'曼城第1分钟控制比赛
3'回传后场孔帕尼！                   1'曼城第1分钟控制比赛
4'孔帕尼斜传右侧沃克！                   1'曼城第1分钟控制比赛
4'沃克短传给孔帕尼！                   1'曼城第1分钟控制比赛
29'孔帕尼后场推进！中圈分左侧斯特林！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
29'回传京多安！长传前场右侧！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
29'马赫雷斯得球分右侧贝尔纳多-席尔瓦！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
29'传中到后点！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
29'阿圭罗头球攻门！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
29'偏出左侧立柱！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
30'福斯特长传中场！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
30'拼抢后右侧费梅尼亚得球！直塞前场右侧！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
30'球给大了出了底线！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
31'津琴科左侧二过一配合！挑传禁区被门将拿到！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
32'马赫雷斯右侧传中！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
32'被解围了！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
32'扬马特反击推进！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
32'失误出界了！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
32'京多安中路吊禁区！                   29'曼城第29分钟错失良机，贝尔纳多右路传中，阿圭罗小禁区边缘头球攻门偏出左侧立柱
50'大卫-席尔瓦中路突破禁区！分右侧底线！                   50'曼城第50分钟扩大比分，席尔瓦直传，马赫雷斯禁区右侧传中，斯特林近距离后点推射空门入网，2-0
51'马赫雷斯横传门前！                   50'曼城第50分钟扩大比分，席尔瓦直传，马赫雷斯禁区右侧传中，斯特林近距离后点推射空门入网，2-0
51'斯特林推射空门！球进了！                   50'曼城第50分钟扩大比分，席尔瓦直传，马赫雷斯禁区右侧传中，斯特林近距离后点推射空门入网，2-0
51'裁判的误判影响了沃特福德球员的注意力啊！                   50'曼城第50分钟扩大比分，席尔瓦直传，马赫雷斯禁区右侧传中，斯特林近距离后点推射空门入网，2-0
53'京多安中路挑传禁区1                   50'曼城第50分钟扩大比分，席尔瓦直传，马赫雷斯禁区右侧传中，斯特林近距离后点推射空门入网，2-0
66'沃特福德长传前场！蒂尼头球摆渡到禁区中路！                   66'沃特福德第66分钟扳回一城，福斯特后场大脚开球，迪尼头球摆渡，德乌洛费乌10码处单刀捅射入网，1-3
66'德乌洛费乌推射！球进了！！                   66'沃特福德第66分钟扳回一城，福斯特后场大脚开球，迪尼头球摆渡，德乌洛费乌10码处单刀捅射入网，1-3
67'大卫-席尔瓦中路突破被拉倒犯规！                   66'沃特福德第66分钟扳回一城，福斯特后场大脚开球，迪尼头球摆渡，德乌洛费乌10码处单刀捅射入网，1-3
67'曼城前场中路任意球！                   66'沃特福德第66分钟扳回一城，福斯特后场大脚开球，迪尼头球摆渡，德乌洛费乌10码处单刀捅射入网，1-3
68'萨内射门打中人墙！哨响了！                   66'沃特福德第66分钟扳回一城，福斯特后场大脚开球，迪尼头球摆渡，德乌洛费乌10码处单刀捅射入网，1-3
68'卡普埃被踢到头部！倒地不起！                   66'沃特福德第66分钟扳回一城，福斯特后场大脚开球，迪尼头球摆渡，德乌洛费乌10码处单刀捅射入网，1-3
69'孔帕尼短传京多安！分左侧津琴科！                   66'沃特福德第66分钟扳回一城，福斯特后场大脚开球，迪尼头球摆渡，德乌洛费乌10码处单刀捅射入网，1-3
69'直塞前场左侧阿圭罗！转身回传给津琴科！                   66'沃特福德第66分钟扳回一城，福斯特后场大脚开球，迪尼头球摆渡，德乌洛费乌10码处单刀捅射入网，1-3
