3'拜仁重新控制球                   1'第1分钟，罗本右路切入禁区距门12米处左脚弧线球被后卫伸腿挡出
3'阿拉巴边路传中，球被大脚解围出来                   1'第1分钟，罗本右路切入禁区距门12米处左脚弧线球被后卫伸腿挡出
4'外围拉菲尼亚拿球                   1'第1分钟，罗本右路切入禁区距门12米处左脚弧线球被后卫伸腿挡出
4'罗本给边路阿拉巴                   1'第1分钟，罗本右路切入禁区距门12米处左脚弧线球被后卫伸腿挡出
39'裁判竟然直接出示了红牌                   39'拜仁第39分钟获得人数优势，罗本直传，科曼被身后的吉迪恩-容铲倒，吉迪恩-容被红牌罚下
40'给到的汉堡球员吉迪恩荣的红牌                   39'拜仁第39分钟获得人数优势，罗本直传，科曼被身后的吉迪恩-容铲倒，吉迪恩-容被红牌罚下
40'这样汉堡将在场上少打一人                   39'拜仁第39分钟获得人数优势，罗本直传，科曼被身后的吉迪恩-容铲倒，吉迪恩-容被红牌罚下
41'比达尔分球边路拉菲尼亚，传球中路                   39'拜仁第39分钟获得人数优势，罗本直传，科曼被身后的吉迪恩-容铲倒，吉迪恩-容被红牌罚下
41'球被解围出来                   39'拜仁第39分钟获得人数优势，罗本直传，科曼被身后的吉迪恩-容铲倒，吉迪恩-容被红牌罚下
42'外围罗本拿球，给到插上的科曼，传球禁区                   39'拜仁第39分钟获得人数优势，罗本直传，科曼被身后的吉迪恩-容铲倒，吉迪恩-容被红牌罚下
52'比达尔中场附近拿球                   52'第52分钟，阿拉巴左路传中，马夫拉伊解围踢漏，穆勒停球拨给右侧的托利索，托利索在门前7米处推入近角，1比0
52'进球了！！！！！！！                   52'第52分钟，阿拉巴左路传中，马夫拉伊解围踢漏，穆勒停球拨给右侧的托利索，托利索在门前7米处推入近角，1比0
53'拉菲尼亚边路拿球，传球中路，莱万拿球，横敲球，找到插上的托里索，来一脚打门，将球打进                   52'第52分钟，阿拉巴左路传中，马夫拉伊解围踢漏，穆勒停球拨给右侧的托利索，托利索在门前7米处推入近角，1比0
54'OK，继续看比赛                   52'第52分钟，阿拉巴左路传中，马夫拉伊解围踢漏，穆勒停球拨给右侧的托利索，托利索在门前7米处推入近角，1比0
54'拜仁中场将球控制下来                   52'第52分钟，阿拉巴左路传中，马夫拉伊解围踢漏，穆勒停球拨给右侧的托利索，托利索在门前7米处推入近角，1比0
71'科曼拿球挑传禁区，罗本拿球来一脚打门                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
71'球被防守球员挡出了底线                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
71'拜仁角球机会                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
71'角球开出来，前点，蒂亚戈拿球直接打门                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
72'球打在横梁上弹出来                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
72'外围科曼拿球                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
73'传球禁区                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
73'球被门将没收了                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
73'门将大脚将球开出来                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
73'蒂亚戈将球控制下来                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
74'科曼给到罗本，传球禁区，球被顶出来                   71'拜仁第71分钟几乎扩大比分，罗本右侧角球选择回传，蒂亚戈禁区边缘抽射击中远门柱内侧弹回
83'边路阿拉巴拿球传球禁区，球被解围出了底线                   83'拜仁第83分钟再次中柱，莱万做球，罗本单刀突入禁区右侧左脚挑射，马特尼亚及时出击封出
83'拜仁角球机会                   83'拜仁第83分钟再次中柱，莱万做球，罗本单刀突入禁区右侧左脚挑射，马特尼亚及时出击封出
84'角球开出来，前点，球被顶出来                   83'拜仁第83分钟再次中柱，莱万做球，罗本单刀突入禁区右侧左脚挑射，马特尼亚及时出击封出
85'中场蒂亚戈拿球，送出直传球，比达尔拿球，直接打门                   83'拜仁第83分钟再次中柱，莱万做球，罗本单刀突入禁区右侧左脚挑射，马特尼亚及时出击封出
86'球被门将没收                   83'拜仁第83分钟再次中柱，莱万做球，罗本单刀突入禁区右侧左脚挑射，马特尼亚及时出击封出
86'大脚将球开出来                   83'拜仁第83分钟再次中柱，莱万做球，罗本单刀突入禁区右侧左脚挑射，马特尼亚及时出击封出
86'阿拉巴将球控制下来                   83'拜仁第83分钟再次中柱，莱万做球，罗本单刀突入禁区右侧左脚挑射，马特尼亚及时出击封出
47'科曼前场拿球                   47'补时第2分钟，又是科曼禁区左侧低传，莱万在门前5米处脚后跟射门稍稍偏出远门柱
48'没太好机会，给中场比达尔                   47'补时第2分钟，又是科曼禁区左侧低传，莱万在门前5米处脚后跟射门稍稍偏出远门柱
48'外围突施冷箭                   47'补时第2分钟，又是科曼禁区左侧低传，莱万在门前5米处脚后跟射门稍稍偏出远门柱
48'打偏了                   47'补时第2分钟，又是科曼禁区左侧低传，莱万在门前5米处脚后跟射门稍稍偏出远门柱
49'后场阿拉巴将球拦截下来                   47'补时第2分钟，又是科曼禁区左侧低传，莱万在门前5米处脚后跟射门稍稍偏出远门柱
50'科曼分球边路阿拉巴，送出传中球，球被顶出来                   47'补时第2分钟，又是科曼禁区左侧低传，莱万在门前5米处脚后跟射门稍稍偏出远门柱
