1'上半场比赛开始了                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
1'上半场由曼城中圈开球                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
1'长传上来比较大，萨默出禁区将球踢到中场                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
1'克拉罗夫左路直传给斯特林，克拉罗夫自己压上接应，可惜越位了                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
2'萨默交给右路的阿维迪                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
3'科尔伯起球传中，奥塔门迪停球失误，约翰逊跟进远射打嗤了                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
3'门兴中场拼抢占优，拉斐尔停球被费尔南迪奥绊倒                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
3'扎卡分边被断了                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
3'德布劳内边路横传，没有找到队友                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
4'温特左路带球过了半场                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
4'内切直传过不了德尔菲                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
4'亚亚图雷在踩球过人，扎卡绊人犯规                   1'门兴第1分钟反客为主展开攻势，美国边锋法比安-约翰逊远射偏出
16'席尔瓦小角度打进世界波！                   16'曼城第16分钟取得领先，斯特林拿球吸引防守后脚后跟妙传，席尔瓦禁区左侧小角度射入上角
17'克拉罗夫直传，斯特林停球后脚后跟一磕，席尔瓦禁区左犄角插上得球杀入禁区左侧小角度爆射打进了球门远角！                   16'曼城第16分钟取得领先，斯特林拿球吸引防守后脚后跟妙传，席尔瓦禁区左侧小角度射入上角
17'施廷德尔的带球突破被拦截                   16'曼城第16分钟取得领先，斯特林拿球吸引防守后脚后跟妙传，席尔瓦禁区左侧小角度射入上角
17'诺德维德控球，回做给萨默                   16'曼城第16分钟取得领先，斯特林拿球吸引防守后脚后跟妙传，席尔瓦禁区左侧小角度射入上角
18'萨默传右路，斯特林在干扰对方                   16'曼城第16分钟取得领先，斯特林拿球吸引防守后脚后跟妙传，席尔瓦禁区左侧小角度射入上角
18'扎卡直传，达胡德分给右路的科尔伯                   16'曼城第16分钟取得领先，斯特林拿球吸引防守后脚后跟妙传，席尔瓦禁区左侧小角度射入上角
18'达胡德再转移到左路，克里希缠着温特                   16'曼城第16分钟取得领先，斯特林拿球吸引防守后脚后跟妙传，席尔瓦禁区左侧小角度射入上角
18'科尔伯为门兴迅速扳平比分！                   16'曼城第16分钟取得领先，斯特林拿球吸引防守后脚后跟妙传，席尔瓦禁区左侧小角度射入上角
