1'泰达身着一身白衣，亚泰则身披一身红！                   1'十分熟悉的双方第1分钟都没有急于进攻
1'泰达开场左路寻求机会，小范围配合时出现失误                   1'十分熟悉的双方第1分钟都没有急于进攻
2'宗磊大脚开出门球                   1'十分熟悉的双方第1分钟都没有急于进攻
2'孙捷一个假动作晃开了上来逼抢的泰达球员                   1'十分熟悉的双方第1分钟都没有急于进攻
3'泰达的球大多是横向的，很少有往前的，没有什么威胁                   1'十分熟悉的双方第1分钟都没有急于进攻
3'王新欣左路面对两名球员逼抢，将球回给杜震宇                   1'十分熟悉的双方第1分钟都没有急于进攻
4'杜震宇左路传中，被后卫破坏，泰达角球                   1'十分熟悉的双方第1分钟都没有急于进攻
4'李本舰主罚角球，第一点被王万鹏定出来                   1'十分熟悉的双方第1分钟都没有急于进攻
4'胡人天后场大脚开到前场，亚泰后卫不敢大意将球破坏出边线                   1'十分熟悉的双方第1分钟都没有急于进攻
3'泰达的球大多是横向的，很少有往前的，没有什么威胁                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
3'王新欣左路面对两名球员逼抢，将球回给杜震宇                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
4'杜震宇左路传中，被后卫破坏，泰达角球                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
4'李本舰主罚角球，第一点被王万鹏定出来                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
4'胡人天后场大脚开到前场，亚泰后卫不敢大意将球破坏出边线                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
5'张笑飞大脚将球破坏出禁区                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
5'贝切莱奋力和对方后卫拼抢，毕竟寡不敌众啊                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
5'亚泰一开场，大巴还是摆的很到位的                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
6'中场逼抢，曹添堡犯规了                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
6'[qiangda]辽阔的东北大平原共有几支中超球队？                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
6'李玮峰后场大脚找胡人天，出了底线，亚泰门球                   3'第3分钟，杜震宇左路突然变向 从夹缝中横切进入禁区，但传中球被对方后卫解围出了底线
11'利马后场大脚开球到前场，梅洛夫解围险些出现失误                   11'第11分钟，换到右路的杜震宇连续横向摆脱之后左脚抽射，皮球 打得太正被米田贺没收
12'杜震宇禁区右侧起脚打门，力量不是很够被门将没收了                   11'第11分钟，换到右路的杜震宇连续横向摆脱之后左脚抽射，皮球 打得太正被米田贺没收
13'最爱长春亚泰 :亚泰应该能赢吧-----看吧~~看吧~~                   11'第11分钟，换到右路的杜震宇连续横向摆脱之后左脚抽射，皮球 打得太正被米田贺没收
13'米田贺大脚开出门球                   11'第11分钟，换到右路的杜震宇连续横向摆脱之后左脚抽射，皮球 打得太正被米田贺没收
14'艾尼奥中场将球转移到右路，孙捷传中到禁区，可惜没有队友接应啊                   11'第11分钟，换到右路的杜震宇连续横向摆脱之后左脚抽射，皮球 打得太正被米田贺没收
14'艾尼尼奥30米开外一脚远射，宗磊飞身将球扑出                   11'第11分钟，换到右路的杜震宇连续横向摆脱之后左脚抽射，皮球 打得太正被米田贺没收
