1'上半场比赛开始！！！                   1'皇马第1分钟打出积极攻势，C罗25码处劲射高出
1'马竞先开球，从画面的右侧向左进攻！！                   1'皇马第1分钟打出积极攻势，C罗25码处劲射高出
1'卡拉斯科右路的强突，被卡瓦哈尔破坏出边线                   1'皇马第1分钟打出积极攻势，C罗25码处劲射高出
2'C罗前场左路背身拿球，转身被放倒在地                   1'皇马第1分钟打出积极攻势，C罗25码处劲射高出
2'皇马后场的失误，马竞的反击！！                   1'皇马第1分钟打出积极攻势，C罗25码处劲射高出
2'卡拉斯科左路拿球，过顶球打身后                   1'皇马第1分钟打出积极攻势，C罗25码处劲射高出
3'力量稍大，纳瓦斯出击，抢在加梅罗之前，将球拿到                   1'皇马第1分钟打出积极攻势，C罗25码处劲射高出
10'皇马领先了！！                   10'皇马第10分钟取得领先，拉莫斯角球混战中右路传中被解围，卡塞米罗禁区右侧凌空抽射反弹球，C罗小禁区边缘力压萨维奇头球破门
10'C罗的进球！！                   10'皇马第10分钟取得领先，拉莫斯角球混战中右路传中被解围，卡塞米罗禁区右侧凌空抽射反弹球，C罗小禁区边缘力压萨维奇头球破门
11'拉莫斯右路搓传到禁区，被后卫解围，卡塞米罗得到再横扫门前，C罗抢在萨维奇之前，甩头攻门顶进！                   10'皇马第10分钟取得领先，拉莫斯角球混战中右路传中被解围，卡塞米罗禁区右侧凌空抽射反弹球，C罗小禁区边缘力压萨维奇头球破门
12'开场10分钟，皇马取得领先，完美开局啊！！                   10'皇马第10分钟取得领先，拉莫斯角球混战中右路传中被解围，卡塞米罗禁区右侧凌空抽射反弹球，C罗小禁区边缘力压萨维奇头球破门
12'卡塞米罗中场拿球，分球右路找卡瓦哈尔                   10'皇马第10分钟取得领先，拉莫斯角球混战中右路传中被解围，卡塞米罗禁区右侧凌空抽射反弹球，C罗小禁区边缘力压萨维奇头球破门
12'卡瓦哈尔停球想过费利佩，被后者破坏                   10'皇马第10分钟取得领先，拉莫斯角球混战中右路传中被解围，卡塞米罗禁区右侧凌空抽射反弹球，C罗小禁区边缘力压萨维奇头球破门
12'球最后碰到卡瓦哈尔出界，马竞的球权                   10'皇马第10分钟取得领先，拉莫斯角球混战中右路传中被解围，卡塞米罗禁区右侧凌空抽射反弹球，C罗小禁区边缘力压萨维奇头球破门
18'拉莫斯后场拿球，分球左侧找马塞洛                   17'第17分钟，科凯直传，加梅罗单刀机会试图突破门将，但纳瓦斯及时出击从其脚下扑出皮球
18'马塞洛停球没停好，埃尔南德斯上抢                   17'第17分钟，科凯直传，加梅罗单刀机会试图突破门将，但纳瓦斯及时出击从其脚下扑出皮球
18'马塞洛将球碰出了边线！！                   17'第17分钟，科凯直传，加梅罗单刀机会试图突破门将，但纳瓦斯及时出击从其脚下扑出皮球
20'科克左路拿球，强突卡瓦哈尔                   17'第17分钟，科凯直传，加梅罗单刀机会试图突破门将，但纳瓦斯及时出击从其脚下扑出皮球
20'卡瓦哈尔上抢踢翻科克，犯规！！                   17'第17分钟，科凯直传，加梅罗单刀机会试图突破门将，但纳瓦斯及时出击从其脚下扑出皮球
20'马竞获得前场左路的任意球机会！！                   17'第17分钟，科凯直传，加梅罗单刀机会试图突破门将，但纳瓦斯及时出击从其脚下扑出皮球
29'费利佩的左路直塞球，出了边线！！                   29'第29分钟，C罗左路晃过卢卡斯-埃尔南德斯后传中，无人防守的本泽马10码处倒钩射门稍稍偏出
30'马竞的前场进攻，赢得任意球机会！！                   29'第29分钟，C罗左路晃过卢卡斯-埃尔南德斯后传中，无人防守的本泽马10码处倒钩射门稍稍偏出
30'格里兹曼准备主罚！！                   29'第29分钟，C罗左路晃过卢卡斯-埃尔南德斯后传中，无人防守的本泽马10码处倒钩射门稍稍偏出
31'格里兹曼任意球搓传到门前！！                   29'第29分钟，C罗左路晃过卢卡斯-埃尔南德斯后传中，无人防守的本泽马10码处倒钩射门稍稍偏出
31'戈丁插上凌空垫射，打飞啦！！                   29'第29分钟，C罗左路晃过卢卡斯-埃尔南德斯后传中，无人防守的本泽马10码处倒钩射门稍稍偏出
31'这球格里兹曼传的很不错啊！！有些出其不意                   29'第29分钟，C罗左路晃过卢卡斯-埃尔南德斯后传中，无人防守的本泽马10码处倒钩射门稍稍偏出
32'上半场比赛33分钟，比分1-0，皇马领先！！                   29'第29分钟，C罗左路晃过卢卡斯-埃尔南德斯后传中，无人防守的本泽马10码处倒钩射门稍稍偏出
73'2-0，皇马扩大比分！！                   73'皇马第73分钟扩大比分，马塞洛左路传中，本泽马拿球横敲，菲利佩拦截未果，C罗禁区边缘内凌空抽射左上角入网，2-0
73'C罗梅开二度！！                   73'皇马第73分钟扩大比分，马塞洛左路传中，本泽马拿球横敲，菲利佩拦截未果，C罗禁区边缘内凌空抽射左上角入网，2-0
74'面对拜仁打进5球，此役面对马竞，C罗再进两球！！                   73'皇马第73分钟扩大比分，马塞洛左路传中，本泽马拿球横敲，菲利佩拦截未果，C罗禁区边缘内凌空抽射左上角入网，2-0
75'本泽马前场背身拿球，转身直塞打身后，费利佩回防放铲，没能拦住，球弹地而起，C罗凌空抽射，打进！                   73'皇马第73分钟扩大比分，马塞洛左路传中，本泽马拿球横敲，菲利佩拦截未果，C罗禁区边缘内凌空抽射左上角入网，2-0
76'马竞前场进攻，赢得前场右路的任意球机会！                   73'皇马第73分钟扩大比分，马塞洛左路传中，本泽马拿球横敲，菲利佩拦截未果，C罗禁区边缘内凌空抽射左上角入网，2-0
86'C罗上演帽子戏法！！！                   86'第86分钟，C罗反击中传球，卢卡斯禁区右侧下底回传，卡塞米罗前点漏过，C罗10码处扫射破门，3-0
87'C罗前场拿球，强突分球右侧给跟进的巴斯克斯，巴斯克斯强突下底，倒三角回传，卡塞米罗故意一漏，中路的C罗无人防守，抽射破门！                   86'第86分钟，C罗反击中传球，卢卡斯禁区右侧下底回传，卡塞米罗前点漏过，C罗10码处扫射破门，3-0
89'三个球的优势，这对于皇马来说，一只脚已经迈进了欧冠决赛！                   86'第86分钟，C罗反击中传球，卢卡斯禁区右侧下底回传，卡塞米罗前点漏过，C罗10码处扫射破门，3-0
89'拉莫斯后场拿球，分球克罗斯                   86'第86分钟，C罗反击中传球，卢卡斯禁区右侧下底回传，卡塞米罗前点漏过，C罗10码处扫射破门，3-0
89'克罗斯再给卡塞米罗，卡塞米罗再给右侧的纳乔                   86'第86分钟，C罗反击中传球，卢卡斯禁区右侧下底回传，卡塞米罗前点漏过，C罗10码处扫射破门，3-0
89'纳乔横传瓦拉内，瓦拉内再给拉莫斯                   86'第86分钟，C罗反击中传球，卢卡斯禁区右侧下底回传，卡塞米罗前点漏过，C罗10码处扫射破门，3-0
89'拉莫斯直塞克罗斯，克罗斯分球马塞洛                   86'第86分钟，C罗反击中传球，卢卡斯禁区右侧下底回传，卡塞米罗前点漏过，C罗10码处扫射破门，3-0
