21'苏亚雷斯往内切被吕迪格倒地铲走                   21'巴萨第21分钟取得领先
21'巴塞罗那机会                   21'巴萨第21分钟取得领先
21'球进了！！                   21'巴萨第21分钟取得领先
22'马蒂厄斜传到禁区右侧，拉基蒂奇得球传后点，苏亚雷斯头球顶入网顶                   21'巴萨第21分钟取得领先
22'慢镜看，马蒂厄斜传到禁区，中路的梅西转身时撞倒了迪涅                   21'巴萨第21分钟取得领先
23'不影响进球的判决                   21'巴萨第21分钟取得领先
23'凯塔挑传，特尔施特根冲出禁区头球解围                   21'巴萨第21分钟取得领先
24'伊涅斯塔左路直传到禁区，斯泽斯尼出击扑脚下球成功，角球也没有丢                   21'巴萨第21分钟取得领先
24'迪涅左路交给了纳因戈兰                   21'巴萨第21分钟取得领先
31'弗洛伦齐右路断球，边路直接吊门，击中立柱内侧球进                   31'第31分钟，弗洛伦齐后场断球沿右侧边线突进，距门48米处直接斜线吊射越过特尔施特根坠入远角，1比1
31'弗洛伦齐是在刚过中场的位置斜向吊门球进，真是球迷奇遇记！                   31'第31分钟，弗洛伦齐后场断球沿右侧边线突进，距门48米处直接斜线吊射越过特尔施特根坠入远角，1比1
32'皮克带球过了半场，内马尔来中路拿一下球                   31'第31分钟，弗洛伦齐后场断球沿右侧边线突进，距门48米处直接斜线吊射越过特尔施特根坠入远角，1比1
32'马蒂厄上来，交给皮克分右路                   31'第31分钟，弗洛伦齐后场断球沿右侧边线突进，距门48米处直接斜线吊射越过特尔施特根坠入远角，1比1
32'布斯克茨交给梅西                   31'第31分钟，弗洛伦齐后场断球沿右侧边线突进，距门48米处直接斜线吊射越过特尔施特根坠入远角，1比1
33'梅西一对一面对德罗西，变向左脚远射，打高了                   31'第31分钟，弗洛伦齐后场断球沿右侧边线突进，距门48米处直接斜线吊射越过特尔施特根坠入远角，1比1
33'罗贝托右路一个虚晃回传给皮克                   31'第31分钟，弗洛伦齐后场断球沿右侧边线突进，距门48米处直接斜线吊射越过特尔施特根坠入远角，1比1
34'马蒂厄分左路，内马尔停漏了                   31'第31分钟，弗洛伦齐后场断球沿右侧边线突进，距门48米处直接斜线吊射越过特尔施特根坠入远角，1比1
34'镜头对准了弗洛伦齐，一记惊世骇俗的吊射                   31'第31分钟，弗洛伦齐后场断球沿右侧边线突进，距门48米处直接斜线吊射越过特尔施特根坠入远角，1比1
60'伊涅斯塔中路分边左路，内马尔变向扣球被马诺拉斯拦截解围                   60'巴萨前60分钟控球率高达77.4%
60'巴塞罗那换人，12号拉菲尼亚换下了4号拉基蒂奇                   60'巴萨前60分钟控球率高达77.4%
61'皮克带球上来分给拉边的梅西                   60'巴萨前60分钟控球率高达77.4%
61'罗贝托套上下底传中被吕迪格顶出边线                   60'巴萨前60分钟控球率高达77.4%
62'拉菲尼亚上场就来一次长距离突破，纳因戈兰背后铲人犯规                   60'巴萨前60分钟控球率高达77.4%
62'纳因戈兰吃到黄牌                   60'巴萨前60分钟控球率高达77.4%
63'回复：博嘚博 特根呀，怎么说呢，布拉沃赶紧复出吧！（身材的确是短板）                   60'巴萨前60分钟控球率高达77.4%
63'拉菲尼亚伤得很严重，拉菲尼亚被抬上担架并固定好                   60'巴萨前60分钟控球率高达77.4%
80'阿尔巴前场左路过人没有成功，是萨拉赫的拦截                   78'梅西第78分钟错过进球，伊涅斯塔右路挑传禁区，梅西在吕迪格贴身逼抢下卸球，距门10米处左脚凌空吊射击中横梁
80'伊涅斯塔左路与内马尔做配合，小角度打门打在德桑蒂斯身体出底线                   78'梅西第78分钟错过进球，伊涅斯塔右路挑传禁区，梅西在吕迪格贴身逼抢下卸球，距门10米处左脚凌空吊射击中横梁
80'巴塞罗那左路的角球                   78'梅西第78分钟错过进球，伊涅斯塔右路挑传禁区，梅西在吕迪格贴身逼抢下卸球，距门10米处左脚凌空吊射击中横梁
81'内马尔传中，德桑蒂斯将球摘下                   78'梅西第78分钟错过进球，伊涅斯塔右路挑传禁区，梅西在吕迪格贴身逼抢下卸球，距门10米处左脚凌空吊射击中横梁
81'德桑蒂斯也是久经沙场的老将，临危受命很沉稳                   78'梅西第78分钟错过进球，伊涅斯塔右路挑传禁区，梅西在吕迪格贴身逼抢下卸球，距门10米处左脚凌空吊射击中横梁
50'德桑蒂斯监危受命披挂上阵                   50'补时第5分钟，苏亚雷斯接应过顶球顶向中路，但马诺拉斯顶出底线
50'当然德桑蒂斯经验没有问题，上来准备发门球                   50'补时第5分钟，苏亚雷斯接应过顶球顶向中路，但马诺拉斯顶出底线
51'门球开上来，巴塞罗那得球                   50'补时第5分钟，苏亚雷斯接应过顶球顶向中路，但马诺拉斯顶出底线
52'内马尔中路接应回传给皮克                   50'补时第5分钟，苏亚雷斯接应过顶球顶向中路，但马诺拉斯顶出底线
52'梅西拿球交给伊涅斯塔                   50'补时第5分钟，苏亚雷斯接应过顶球顶向中路，但马诺拉斯顶出底线
52'再回给中路的梅西                   50'补时第5分钟，苏亚雷斯接应过顶球顶向中路，但马诺拉斯顶出底线
53'伊涅斯塔盘带几下交给内马尔                   50'补时第5分钟，苏亚雷斯接应过顶球顶向中路，但马诺拉斯顶出底线
53'内马尔选择回传，阿尔巴回传给特尔施特根过渡                   50'补时第5分钟，苏亚雷斯接应过顶球顶向中路，但马诺拉斯顶出底线
53'皮克长传前场右路，苏亚雷斯越位                   50'补时第5分钟，苏亚雷斯接应过顶球顶向中路，但马诺拉斯顶出底线
