14'角球打到中路，这次拜仁虽然争到落点，但是顶的太正被门将没收                   14'第14分钟，拉菲尼亚右路传中，莱万顶出弹地球被沃尔夫单手捞出
17'拜仁把球打到右路，传中球到禁区内                   14'第14分钟，拉菲尼亚右路传中，莱万顶出弹地球被沃尔夫单手捞出
17'阿拉巴禁区弧顶接队友回做后抽射打偏                   14'第14分钟，拉菲尼亚右路传中，莱万顶出弹地球被沃尔夫单手捞出
45'阿拉巴主罚直接任意球，施魏因施泰格晃动一下后，阿拉巴左脚兜射破门                   45'第45分钟，格策被普勒德尔放倒，阿拉巴在门前17米处左脚任意球越过人墙入大门右侧，2比0
45'上半场比赛结束，凭借着阿拉巴和穆勒的进球领先进入到中场休息                   45'第45分钟，格策被普勒德尔放倒，阿拉巴在门前17米处左脚任意球越过人墙入大门右侧，2比0
46'下半场开始                   45'第45分钟，格策被普勒德尔放倒，阿拉巴在门前17米处左脚任意球越过人墙入大门右侧，2比0
62'双方发生冲突了                   62'第62分钟，贝纳蒂亚铲断成功，普勒德尔背后将其放倒，裁判向两人亮出黄牌，拜仁队员和瓜迪奥拉都难以置信，贝纳蒂亚将停赛1轮
63'裁判哨响之后普勒德尔还有背后铲球的动作                   62'第62分钟，贝纳蒂亚铲断成功，普勒德尔背后将其放倒，裁判向两人亮出黄牌，拜仁队员和瓜迪奥拉都难以置信，贝纳蒂亚将停赛1轮
63'放倒了贝纳蒂亚，拜仁球员不干了，双方发生了争执                   62'第62分钟，贝纳蒂亚铲断成功，普勒德尔背后将其放倒，裁判向两人亮出黄牌，拜仁队员和瓜迪奥拉都难以置信，贝纳蒂亚将停赛1轮
64'不莱梅换人，哈伊洛维茨换下了奥茨图纳利                   62'第62分钟，贝纳蒂亚铲断成功，普勒德尔背后将其放倒，裁判向两人亮出黄牌，拜仁队员和瓜迪奥拉都难以置信，贝纳蒂亚将停赛1轮
64'刚才的冲突裁判各打五十大板，一人一张黄牌                   62'第62分钟，贝纳蒂亚铲断成功，普勒德尔背后将其放倒，裁判向两人亮出黄牌，拜仁队员和瓜迪奥拉都难以置信，贝纳蒂亚将停赛1轮
65'贝纳蒂亚累计5张黄牌了 下轮停赛                   62'第62分钟，贝纳蒂亚铲断成功，普勒德尔背后将其放倒，裁判向两人亮出黄牌，拜仁队员和瓜迪奥拉都难以置信，贝纳蒂亚将停赛1轮
64'不莱梅换人，哈伊洛维茨换下了奥茨图纳利                   64'第64分钟，巴特尔斯左路看到雷纳站位靠前，直接外脚背小角度吊门，雷纳托出横梁，不来梅开出角球，巴特尔斯将球打进，但普勒德尔被判手球，慢镜显示，普勒德尔似乎受到博阿滕拉拽
64'刚才的冲突裁判各打五十大板，一人一张黄牌                   64'第64分钟，巴特尔斯左路看到雷纳站位靠前，直接外脚背小角度吊门，雷纳托出横梁，不来梅开出角球，巴特尔斯将球打进，但普勒德尔被判手球，慢镜显示，普勒德尔似乎受到博阿滕拉拽
65'贝纳蒂亚累计5张黄牌了 下轮停赛                   64'第64分钟，巴特尔斯左路看到雷纳站位靠前，直接外脚背小角度吊门，雷纳托出横梁，不来梅开出角球，巴特尔斯将球打进，但普勒德尔被判手球，慢镜显示，普勒德尔似乎受到博阿滕拉拽
66'不莱梅塞尔克破门，但是被判无效 ，手球在先                   64'第64分钟，巴特尔斯左路看到雷纳站位靠前，直接外脚背小角度吊门，雷纳托出横梁，不来梅开出角球，巴特尔斯将球打进，但普勒德尔被判手球，慢镜显示，普勒德尔似乎受到博阿滕拉拽
66'施魏因施泰格又被推倒了 双方现在火药味上来了                   64'第64分钟，巴特尔斯左路看到雷纳站位靠前，直接外脚背小角度吊门，雷纳托出横梁，不来梅开出角球，巴特尔斯将球打进，但普勒德尔被判手球，慢镜显示，普勒德尔似乎受到博阿滕拉拽
67'尤努佐维奇前场拼抢的时候推人犯规吃了黄牌                    64'第64分钟，巴特尔斯左路看到雷纳站位靠前，直接外脚背小角度吊门，雷纳托出横梁，不来梅开出角球，巴特尔斯将球打进，但普勒德尔被判手球，慢镜显示，普勒德尔似乎受到博阿滕拉拽
76'对不起刚才掉线了，比赛继续                   76'第76分钟，博阿滕后场抢断弗里茨，高速反击到前场搓到左侧，穆勒凌空吊过出击到禁区外的沃尔夫，莱万在门前8米处冲顶入左下角，3比0
76'不莱梅左路的进攻，传中球到前点，拉菲尼亚头球解围出了底线，角球                   76'第76分钟，博阿滕后场抢断弗里茨，高速反击到前场搓到左侧，穆勒凌空吊过出击到禁区外的沃尔夫，莱万在门前8米处冲顶入左下角，3比0
77'拜仁中场的分球给到左路，穆勒反越位，在沃尔夫之前把球挑给了前插的莱万，莱万轻松头球顶空门入网                   76'第76分钟，博阿滕后场抢断弗里茨，高速反击到前场搓到左侧，穆勒凌空吊过出击到禁区外的沃尔夫，莱万在门前8米处冲顶入左下角，3比0
78'穆勒禁区右侧获得机会，打偏了                   76'第76分钟，博阿滕后场抢断弗里茨，高速反击到前场搓到左侧，穆勒凌空吊过出击到禁区外的沃尔夫，莱万在门前8米处冲顶入左下角，3比0
79'不莱梅左路的传中球给到禁区内，雷纳把球没收                   76'第76分钟，博阿滕后场抢断弗里茨，高速反击到前场搓到左侧，穆勒凌空吊过出击到禁区外的沃尔夫，莱万在门前8米处冲顶入左下角，3比0
46'下半场开始                   46'补时第1分钟，罗德反击直传，莱万多夫斯基与穆勒踢墙配合，穆勒左侧外脚背低传，莱万冒着撞到右门柱的危险，将球推进空门，4比0
49'下半场依旧是拜仁牢牢控制比赛                   46'补时第1分钟，罗德反击直传，莱万多夫斯基与穆勒踢墙配合，穆勒左侧外脚背低传，莱万冒着撞到右门柱的危险，将球推进空门，4比0
49'贝纳蒂亚犯规了，不莱梅获得前场任意球机会                   46'补时第1分钟，罗德反击直传，莱万多夫斯基与穆勒踢墙配合，穆勒左侧外脚背低传，莱万冒着撞到右门柱的危险，将球推进空门，4比0
