5'哈特开大脚险些被沃奥德洛夫跳起断下                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
5'席尔瓦反击被维斯特放倒，但裁判没有任何表示                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
5'伊蒂哈德一片嘘声                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
6'[qiangda]谁会进第一个球？！！                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
6'席尔瓦下场接受检查，不过看着没有太大问题 他又回到了场上                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
7'[qiangda]曼城一共夺取几次英超冠军？A0 B1 C2 D3                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
8'萨巴莱塔接米尔纳直塞球，右路起脚传中，低平球直接被富勒姆门将拿到，没有什么威胁                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
8'席位瓦中场稳稳控制                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
8'汉格兰德长传球出现失误，但好在队友又将皮球抢了回来                   5'第5分钟，席尔瓦被里特尔撞伤接受治疗后重返赛场
15'萨巴莱塔禁区外直接打门，皮球碰到富勒姆球员身上出了边线                   15'第15分钟，费尔南迪尼奥传球，萨巴莱塔外围射门被封堵
15'科拉罗夫倒地传中，结果球打次了                   15'第15分钟，费尔南迪尼奥传球，萨巴莱塔外围射门被封堵
16'Forever听听 :雯雯～你今天怎么不去播拜仁啦～搞得拜仁的文字直播一点也没意思～----老大让播哪场就播哪场啊                   15'第15分钟，费尔南迪尼奥传球，萨巴莱塔外围射门被封堵
16'纳斯里和费尔南迪尼奥寻求撞墙配合出现了失误                   15'第15分钟，费尔南迪尼奥传球，萨巴莱塔外围射门被封堵
17'内格雷多跑动很是积极啊                   15'第15分钟，费尔南迪尼奥传球，萨巴莱塔外围射门被封堵
17'科拉罗夫禁区右脚大力抽射，皮球被门将奋力挡出                   15'第15分钟，费尔南迪尼奥传球，萨巴莱塔外围射门被封堵
18'曼城开出角球，第一点被富勒姆后卫挡出了                   15'第15分钟，费尔南迪尼奥传球，萨巴莱塔外围射门被封堵
18'纳斯里外围尝试一脚远射，结果打了飞机                   15'第15分钟，费尔南迪尼奥传球，萨巴莱塔外围射门被封堵
18'曼城开出角球，第一点被富勒姆后卫挡出了                   18'第18分钟，亚亚-图雷传球，纳斯里禁区边缘的射门偏出
18'纳斯里外围尝试一脚远射，结果打了飞机                   18'第18分钟，亚亚-图雷传球，纳斯里禁区边缘的射门偏出
19'飞往太空的孤鹰 :英冠非切尔西莫属，会员资格是什么意思，???雯雯哪--会员代表你是智慧和运气的化身！！                   18'第18分钟，亚亚-图雷传球，纳斯里禁区边缘的射门偏出
19'[qiangda]曼城主帅佩莱格里尼绰号叫什么?  A建筑师 B会计师 C工程师 D面点师                   18'第18分钟，亚亚-图雷传球，纳斯里禁区边缘的射门偏出
20'亚亚图雷大脚将球分到右路，险些被断掉                   18'第18分钟，亚亚-图雷传球，纳斯里禁区边缘的射门偏出
20'米尔纳右路传中，皮球被里特跳起挡出                   18'第18分钟，亚亚-图雷传球，纳斯里禁区边缘的射门偏出
21'西德维尔左路1V1科拉罗夫，结果球丢了啊                   18'第18分钟，亚亚-图雷传球，纳斯里禁区边缘的射门偏出
21'黑格子hp :工程师----工程师是怎么来的啊？？？                   18'第18分钟，亚亚-图雷传球，纳斯里禁区边缘的射门偏出
23'不好意思，最后是理查德森主罚，皮球直接打到人墙上了                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
23'江君515a :在阿甲联赛中，佩莱格里尼得到了“工程师”的绰号，这因为他一度投身于建筑行业。---那为什么不叫建筑师呢 好奇怪                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
24'萨巴莱塔挑传席尔瓦，皮球被富勒姆后卫破坏出底线                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
24'纳斯里开出右侧角球                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
24'第一点被里特顶出，富勒姆反击，传球出现了失误                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
25'富勒姆又反断了回来，里瑟左侧传中时球被德米凯利斯伸脚断下                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
25'阿莫雷禁区内踢倒了内格雷多，裁判判罚了点球                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
26'并出示了一张黄牌！！                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
26'亚亚图雷主罚                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
26'亚亚图雷骗过门将，轻松将球打进。皮球应声入网！！                   23'富勒姆第23分钟险些破门，卡卡尼克利奇传球，伍德罗禁区内射门被封堵，里查德森20码处左脚劲射擦右侧立柱偏出
32'月亮磊 :原叫市政球场，现在伊蒂哈德--赞一个！！                   32'第32分钟，里查德森切入禁区左侧下底传中，里特尔小禁区边缘头球攻门偏出
32'[qiangda]心目中的最神圣浪漫的球场是哪座？                   32'第32分钟，里查德森切入禁区左侧下底传中，里特尔小禁区边缘头球攻门偏出
