36'蒿俊闵后场得球，米尔泽耶夫斯基上抢犯规                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
36'背后踢人啊，这不好！                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
36'鲁能泰山队进球啦！刘洋！1-0                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
37'鲁能泰山队长传球到前场对方碰了一下到禁区内，刘洋背身拿球，转身打门球进！                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
37'长春亚泰队长传球到前场左路，直接出边线                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
38'金敬道前场右路接球，斜传禁区，被对方控了下来                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
39'后场长春亚泰队得球，交给米尔泽耶夫斯基                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
39'米尔泽耶夫斯基斜传球到前场左路！                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
39'维比带球强突，对方两人关门把球抢断下来                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
39'鲁能泰山队左路攻到前场，回传一脚！                   36'第36分钟，刘洋转身抽射破门，帮助山东鲁能打破僵局
42'这球配合得真是不错！                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
42'界外球发出来，鲁能泰山队右路传球，被破坏                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
42'球出底线！鲁能泰山队角球机会                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
43'鲁能泰山队进球！！！吉尔！2-0                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
43'格德斯发角球到禁区内！！吉尔抢点头球顶门，皮球应声入网！！！！                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
44'米尔泽耶夫斯基中场直传球，又被鲁能泰山队抢断下来                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
44'金敬道右路接球，漂亮的转身回传                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
44'张驰右路带是攻，被破坏出边线                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
44'界外球发出来，长春亚泰队得球左路长传，又被开了回来！                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
45'中场鲁能泰山队断球！分到左路进攻！                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
45'金敬道横传禁区！被对方顶出来！                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
45'格德斯的位置不错啊，为什么不传他呢？                   42'第42分钟，格德斯角球传中，吉尔头球吊射远角得手
55'成源一上场就在前场展开逼抢！                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
55'长春亚泰队中路攻到前场，对方大脚破坏                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
56'米尔泽耶夫斯基中场接球！强突没能过去！                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
56'鲁能泰山队反击！                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
56'蒿俊闵中路直传球，被截！                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
57'长春亚泰队传球，失误                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
57'韩镕泽大脚开球到前场，佩莱争抢推人犯规、                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
57'双方手上都有动作！于睿也没闲着                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
58'长春亚泰队长传球到前场，成源头球顶了一下，球出界                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
58'长春亚泰队前场右路界外球发出来，交给米尔泽耶夫斯基                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
58'米尔泽耶夫斯基回传一脚                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
58'长春亚泰队长传球到禁区内，吉尔卡位不错，把球抢断下来                   55'第10分钟，山东鲁能打出快速反击，张弛边路插上送出一脚似传似射的传中，球擦着横梁稍稍高出
63'鲁能泰山队长传禁区！对方破坏                   61'第16分钟，佩莱背身做球，蒿俊闵拿球送出直塞，格德斯快速插上形成单刀，但是他的推射被门将挡出底线
63'长春亚泰队攻到前场！米尔泽耶夫斯基传禁区，伊格哈罗杀到                   61'第16分钟，佩莱背身做球，蒿俊闵拿球送出直塞，格德斯快速插上形成单刀，但是他的推射被门将挡出底线
63'韩镕泽封住了路线！出来把球破坏                   61'第16分钟，佩莱背身做球，蒿俊闵拿球送出直塞，格德斯快速插上形成单刀，但是他的推射被门将挡出底线
63'伊格哈罗受伤倒在地上！                   61'第16分钟，佩莱背身做球，蒿俊闵拿球送出直塞，格德斯快速插上形成单刀，但是他的推射被门将挡出底线
63'韩镕泽解围时踢到了伊格哈罗！对脚啦！                   61'第16分钟，佩莱背身做球，蒿俊闵拿球送出直塞，格德斯快速插上形成单刀，但是他的推射被门将挡出底线
64'判给了长春亚泰队角球机会                   61'第16分钟，佩莱背身做球，蒿俊闵拿球送出直塞，格德斯快速插上形成单刀，但是他的推射被门将挡出底线
70'郑铮左路斜传门前，吴亚轲没收                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
70'成源中场得球直传球！对方把球断下来                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
71'长春亚泰队长传前场！韩镕泽出击没收                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
71'范晓冬虽然跑得飞快！但还是被韩镕泽迎球出来拿到                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
71'韩镕泽大脚开球到前场，佩莱被放倒！                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
71'于睿的犯规！                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
71'鲁能泰山队得到中前场任意球机会                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
72'任意球发出来！鲁能泰山队转移到右路进攻                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
72'后场长春亚泰队断球长传反击！                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
72'伊格哈罗左路带球突破！被包夹！                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
72'伊格哈罗直传球，队友回传                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
72'伊格哈罗挑传禁区！对方顶了出来                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
72'中场长春亚泰队回传门将，格德斯在前场去逼抢                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
72'长春亚泰队长传球，鲁能泰山队把球回回来                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
73'米尔泽耶夫斯基直传情！！伊格哈罗反越位！！带到禁区内一脚打门，高啦！！                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
73'郑铮贴身防守比较到位！干扰了对方打门！                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
73'鲁能泰山队攻到前场，分右路                   70'第25分钟，山东鲁能角球被破坏，长春亚泰快速反击，阿德里安拿球送出弧线球长传，伊哈洛停球后凌空抽射，球被倒地的王彤挡了一下后稍稍高出横梁
77'格德斯右路带球攻到前场！禁区内横传球，到另一侧                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
77'金敬道在边线附近等球啊！                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
77'格德斯横传球，金敬道没能控好！球出底线                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
78'长春亚泰队传球到禁区内，范晓冬小角度打门，被挡出底线                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
78'这球越位在先！助理裁判举旗啦！                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
79'鲁能泰山队换人，周海滨上场，换下格德斯                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
79'于睿后场控球，回传一脚                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
79'成源在前场抢球犯规                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
79'任意球发出来，长春亚泰队把球转移到左路进攻                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
80'界外球发出来，刘军帅将球顶出边线                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
80'长春亚泰队左路直传球，张笑天接球出边线                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
80'前场佩莱抢球犯规                   77'第32分钟，刘洋边路晃开两人防守后内切射门将球打飞
86'长春亚泰队换人，谭天澄上场！                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
86'韩镕泽大脚开球到前场！佩莱后顶！                   86'第41分钟，格德斯送出直塞，金敬道插上弧线球穿着，郑铮禁区中路抢点头球攻门，球击中立柱弹出
