3'回传给门将德赫亚！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'德赫亚开球给后场中路弗雷德！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'再给前场右路阿什利-扬！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'阿什利-扬挑传给前场右侧！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'祖玛后场把球拦截！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'分球给后场中路基恩！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'基恩再给斜传球到中路盖耶！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'盖耶的分球被林德洛夫拦截！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'回敲门将德赫亚！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'德赫亚开球给身后博格巴！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
3'博格巴给中场左侧卢克-肖！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
4'卢克-肖低平球给左侧马夏尔！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
4'马夏尔分球禁区前沿博格巴！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
4'博格巴外围起脚远射！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
4'这球打偏出界！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
6'埃弗顿发球给西古德松！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
6'斜传球给中场左侧盖耶！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
6'阿什利-扬把球破坏出界！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
6'埃弗顿边线发球给左路！                   3'开场仅3分钟，马夏尔传球，博格巴禁区前劲射偏出边线
27'被绊倒了！！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
27'裁判给了点球！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
27'博格巴来主罚！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
27'慢动作跑几步！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
27'打左侧！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
27'皮克福德飞身扑出！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
27'博格巴跟进再射射射！！！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
27'球进了！！！！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
27'曼联取得领先！！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
29'德赫亚长传前场！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
30'拼抢后伯纳德碰出边线！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
30'弗雷德右侧横传中路！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
30'博格巴得球直塞！                   27'曼联第27分钟取得领先，马夏尔突入禁区左侧被盖耶绊倒，博格巴主罚点球被扑出后小禁区前补射入网
