2'射门!!!AC米兰球员德容大禁区外右脚射门,被对方守门员横身扑出.                   2'开场2分钟，德容在门前22米处低射太正被佩戈洛得到
5'AC米兰球员诺切里诺拼抢犯规,对手获得控球权.                   2'开场2分钟，德容在门前22米处低射太正被佩戈洛得到
5'基布萨为萨索洛赢得一个任意球.                   2'开场2分钟，德容在门前22米处低射太正被佩戈洛得到
5'AC米兰球员博内拉拼抢犯规,对手获得控球权.                   2'开场2分钟，德容在门前22米处低射太正被佩戈洛得到
5'贝拉尔迪为萨索洛在对方半场,赢得一个任意球.                   2'开场2分钟，德容在门前22米处低射太正被佩戈洛得到
9'进球啦！！！AC米兰球员罗比尼奥大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是德容. 萨索洛 0-1 AC米兰.                   9'AC米兰第9分钟取得领先，德容和克里斯坦特前场包夹反抢奇布萨，德容得球直塞，罗比尼奥突入禁区左侧距门9米处左脚斜射入远角，1比0
12'萨索洛球员安泰一脚直塞球给扎乍,但是边裁举旗显示后者已经越位.                   9'AC米兰第9分钟取得领先，德容和克里斯坦特前场包夹反抢奇布萨，德容得球直塞，罗比尼奥突入禁区左侧距门9米处左脚斜射入远角，1比0
46'安泰为萨索洛赢得一个任意球.                   46'但仅过1分钟，库尔蒂奇直传，贝拉尔迪反越位趟过阿比亚蒂，在门前6米处左脚推进空门，1比2
46'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   46'但仅过1分钟，库尔蒂奇直传，贝拉尔迪反越位趟过阿比亚蒂，在门前6米处左脚推进空门，1比2
47'进球啦！！！萨索洛球员贝拉尔迪大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是库尔蒂奇. 萨索洛 4-2 AC米兰.                   46'但仅过1分钟，库尔蒂奇直传，贝拉尔迪反越位趟过阿比亚蒂，在门前6米处左脚推进空门，1比2
49'萨索洛球员阿里奥多拼抢犯规,对手获得控球权.                   46'但仅过1分钟，库尔蒂奇直传，贝拉尔迪反越位趟过阿比亚蒂，在门前6米处左脚推进空门，1比2
49'巴洛特利为AC米兰赢得一个任意球.                   46'但仅过1分钟，库尔蒂奇直传，贝拉尔迪反越位趟过阿比亚蒂，在门前6米处左脚推进空门，1比2
