3'巴萨后场拿球往前走                   2'开场仅2分钟，帕雷霍禁区前射门被特尔施特根没收
3'前场有三名进攻球员                   2'开场仅2分钟，帕雷霍禁区前射门被特尔施特根没收
3'瓦伦西亚退防的速度还是很快                   2'开场仅2分钟，帕雷霍禁区前射门被特尔施特根没收
3'禁区前沿将球拦截                   2'开场仅2分钟，帕雷霍禁区前射门被特尔施特根没收
3'科奎林中场拿球                   2'开场仅2分钟，帕雷霍禁区前射门被特尔施特根没收
4'大范围转移到了边路                   2'开场仅2分钟，帕雷霍禁区前射门被特尔施特根没收
4'边路传球给到禁区前沿                   2'开场仅2分钟，帕雷霍禁区前射门被特尔施特根没收
4'失误了                   2'开场仅2分钟，帕雷霍禁区前射门被特尔施特根没收
10'塞梅多右路禁区内传球                   9'第9分钟出现争议，梅西传球，塞梅多禁区右侧传射被加布里埃尔用手挡出，裁判未予判罚
10'球被后卫用手挡了下来                   9'第9分钟出现争议，梅西传球，塞梅多禁区右侧传射被加布里埃尔用手挡出，裁判未予判罚
11'但裁判似乎只给了一个角球                   9'第9分钟出现争议，梅西传球，塞梅多禁区右侧传射被加布里埃尔用手挡出，裁判未予判罚
11'苏亚雷斯也是在投诉                   9'第9分钟出现争议，梅西传球，塞梅多禁区右侧传射被加布里埃尔用手挡出，裁判未予判罚
11'还是给了角球                   9'第9分钟出现争议，梅西传球，塞梅多禁区右侧传射被加布里埃尔用手挡出，裁判未予判罚
11'角球送前点                   9'第9分钟出现争议，梅西传球，塞梅多禁区右侧传射被加布里埃尔用手挡出，裁判未予判罚
11'后卫头球先顶出来                   9'第9分钟出现争议，梅西传球，塞梅多禁区右侧传射被加布里埃尔用手挡出，裁判未予判罚
24'0-1！！！                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
24'加梅罗！！！                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
25'梅西前场拿球被推倒，瓦伦西亚快速反击到了禁区弧顶，推直线到禁区，加梅罗前插形成单刀，面对门将推射远角破门！！                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
25'瓦伦西亚率先取得进球                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
25'巴萨中圈开球                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
25'给到了边路                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
25'接下来的时间巴萨估计要展开猛攻了                   24'瓦伦西亚第24分钟取得领先，梅西禁区弧顶外被帕雷霍推倒，裁判未予判罚，瓦伦西亚展开快速反击，罗德里戈送出直传，加梅罗10码处单刀低射入网
