2'帕尔马球员卢卡雷利拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念帕尔马主席吉拉尔迪的祖父帕索蒂
2'巴洛特利为AC米兰赢得一个任意球.                   1'赛前默哀1分钟，悼念帕尔马主席吉拉尔迪的祖父帕索蒂
3'帕尔马球员卡萨尼一脚直塞球给阿毛里,但是边裁举旗显示后者已经越位.                   1'赛前默哀1分钟，悼念帕尔马主席吉拉尔迪的祖父帕索蒂
10'帕尔马球员戈比大禁区左侧左脚射门,被防守球员封堵.给他传球的是比亚比亚尼.                   10'帕尔马第10分钟取得领先，比亚比亚尼右路利用速度生超康斯坦特后下底传中，戈比后点左脚扫射被阿巴特封堵，帕罗洛在门前8米处左脚补射入右下角，1比0
10'进球啦！！！帕尔马球员帕罗洛大禁区中央左脚射门,球从右下角飞进球门,球进了! 帕尔马 1-0 AC米兰.                   10'帕尔马第10分钟取得领先，比亚比亚尼右路利用速度生超康斯坦特后下底传中，戈比后点左脚扫射被阿巴特封堵，帕罗洛在门前8米处左脚补射入右下角，1比0
12'帕尔马球员卡萨尼拼抢犯规,对手获得控球权.                   10'帕尔马第10分钟取得领先，比亚比亚尼右路利用速度生超康斯坦特后下底传中，戈比后点左脚扫射被阿巴特封堵，帕罗洛在门前8米处左脚补射入右下角，1比0
12'巴洛特利为AC米兰在对方半场,赢得一个任意球.                   10'帕尔马第10分钟取得领先，比亚比亚尼右路利用速度生超康斯坦特后下底传中，戈比后点左脚扫射被阿巴特封堵，帕罗洛在门前8米处左脚补射入右下角，1比0
13'AC米兰球员巴洛特利大禁区外右脚射门,被防守球员封堵.                   10'帕尔马第10分钟取得领先，比亚比亚尼右路利用速度生超康斯坦特后下底传中，戈比后点左脚扫射被阿巴特封堵，帕罗洛在门前8米处左脚补射入右下角，1比0
13'阿毛里将球处理出底线,AC米兰获得角球.                   10'帕尔马第10分钟取得领先，比亚比亚尼右路利用速度生超康斯坦特后下底传中，戈比后点左脚扫射被阿巴特封堵，帕罗洛在门前8米处左脚补射入右下角，1比0
16'帕尔马球员马尔基奥尼大禁区外右脚射门,被防守球员封堵.                   16'第16分钟，马尔基奥尼右侧开出任意球，A-卢卡雷利后点头球被加布里埃尔没收
16'萨帕塔将球处理出底线,帕尔马获得角球.                   16'第16分钟，马尔基奥尼右侧开出任意球，A-卢卡雷利后点头球被加布里埃尔没收
16'射门!!!帕尔马球员卢卡雷利小禁区左侧头球,被对方守门员横身扑出.给他传球的是马尔基奥尼.                   16'第16分钟，马尔基奥尼右侧开出任意球，A-卢卡雷利后点头球被加布里埃尔没收
17'帕尔马阿毛里受伤倒地,比赛暂停                   16'第16分钟，马尔基奥尼右侧开出任意球，A-卢卡雷利后点头球被加布里埃尔没收
17'暂停结束,球员们重新开始比赛.                   16'第16分钟，马尔基奥尼右侧开出任意球，A-卢卡雷利后点头球被加布里埃尔没收
19'卡萨诺为帕尔马在右路,赢得一个任意球.                   16'第16分钟，马尔基奥尼右侧开出任意球，A-卢卡雷利后点头球被加布里埃尔没收
19'AC米兰球员萨帕塔拼抢犯规,对手获得控球权.                   16'第16分钟，马尔基奥尼右侧开出任意球，A-卢卡雷利后点头球被加布里埃尔没收
46'射门!!!帕尔马球员卡萨诺大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是卡萨尼.                   46'1分钟后，卡萨诺传球，阿毛里禁区内射门被萨帕塔封堵
48'帕尔马球员阿毛里拼抢犯规,对手获得控球权.                   46'1分钟后，卡萨诺传球，阿毛里禁区内射门被萨帕塔封堵
48'萨帕塔为AC米兰赢得一个任意球.                   46'1分钟后，卡萨诺传球，阿毛里禁区内射门被萨帕塔封堵
34'AC米兰球员巴洛特利在禁区内摔倒了,但裁判判他假摔！                   34'第34分钟，巴洛特利左路穿过两人包夹，切入禁区左侧倒地，被判假摔吃到黄牌
34'AC米兰球员巴洛特利被主裁判出示了一张黄牌.                   34'第34分钟，巴洛特利左路穿过两人包夹，切入禁区左侧倒地，被判假摔吃到黄牌
46'射门!!!帕尔马球员卡萨诺大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是卡萨尼.                   46'上半时补时第1分钟，比亚比亚尼右路突破传中，帕罗洛禁区左侧回敲，卡萨诺在门前12米处低射穿过蒙托利沃入近角，2比0
48'帕尔马球员阿毛里拼抢犯规,对手获得控球权.                   46'上半时补时第1分钟，比亚比亚尼右路突破传中，帕罗洛禁区左侧回敲，卡萨诺在门前12米处低射穿过蒙托利沃入近角，2比0
48'萨帕塔为AC米兰赢得一个任意球.                   46'上半时补时第1分钟，比亚比亚尼右路突破传中，帕罗洛禁区左侧回敲，卡萨诺在门前12米处低射穿过蒙托利沃入近角，2比0
51'射门!!!帕尔马球员阿毛里大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是卡萨诺.                   50'第50分钟，卡萨诺禁区内接应长传，倚住萨帕塔传球，阿毛里左脚推射被加布里埃尔没收
