3'射门!!!切沃球员卡斯特罗大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是戈比.
4'射门!!!国际米兰球员约维蒂奇大禁区外右脚射门,被对方守门员横身扑出.
7'比尔萨为切沃在对方半场,赢得一个任意球.
7'国际米兰球员瓜林拼抢犯规,对手获得控球权.
7'孔多比亚将球处理出底线,切沃获得角球.
8'切沃球员梅吉奥里尼大禁区中央左脚射门,被防守球员封堵.给他传球的是甘贝里尼.
8'切沃球员梅吉奥里尼一脚直塞球给帕洛斯基,但是边裁举旗显示后者已经越位.
9'梅吉奥里尼为切沃在对方半场,赢得一个任意球.
9'国际米兰球员梅德尔拼抢犯规,对手获得控球权.
11'切沃球员比尔萨大禁区外左脚射门,被防守球员封堵.
11'切沃球员N-弗雷拼抢犯规,对手获得控球权.
11'约维蒂奇为国际米兰赢得一个任意球.
11'切沃球员比尔萨一脚直塞球给梅吉奥里尼,但是边裁举旗显示后者已经越位.
13'国际米兰球员梅洛大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是约维蒂奇.
16'切沃球员卡斯特罗拼抢犯规,对手获得控球权.
16'孔多比亚为国际米兰赢得一个任意球.
17'切沃球员卡斯特罗大禁区外右脚射门,被防守球员封堵.给他传球的是比尔萨.
17'穆利洛将球处理出底线,切沃获得角球.
18'Alex Telles将球处理出底线,切沃获得角球.
19'切沃球员卡斯特罗小禁区左侧尝试头球,可惜皮球稍稍高出球门.给他传球的是比尔萨.
20'比萨里将球处理出底线,国际米兰获得角球.
23'比萨里将球处理出底线,国际米兰获得角球.
23'国际米兰球员孔多比亚大禁区外左脚射门,被防守球员封堵.
25'国际米兰球员佩里西奇大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是桑顿.
26'切沃球员帕洛斯基拼抢犯规,对手获得控球权.
26'梅德尔为国际米兰赢得一个任意球.
27'哈特马吉为切沃在左路,赢得一个任意球.
27'国际米兰球员瓜林拼抢犯规,对手获得控球权.
27'黄牌！国际米兰球员瓜林因为恶意犯规,被主裁判出示黄牌.
28'N-弗雷为切沃在右路,赢得一个任意球.
28'国际米兰球员Alex Telles拼抢犯规,对手获得控球权.
31'比尔萨为切沃在对方半场,赢得一个任意球.
31'国际米兰球员梅洛拼抢犯规,对手获得控球权.
33'切沃球员比尔萨大禁区外尝试左脚射门,可惜皮球稍稍高出球门.
35'切沃球员帕洛斯基大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是比尔萨.
35'梅德尔将球处理出底线,切沃获得角球.
35'切沃球员卡斯特罗大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是比尔萨.
37'切沃球员里戈尼拼抢犯规,对手获得控球权.
37'伊卡尔迪为国际米兰在对方半场,赢得一个任意球.
37'黄牌！切沃球员里戈尼因为恶意犯规,被主裁判出示黄牌.
38'国际米兰球员孔多比亚大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是佩里西奇.
39'哈特马吉为切沃在左路,赢得一个任意球.
39'国际米兰球员瓜林拼抢犯规,对手获得控球权.
40'切沃球员梅吉奥里尼拼抢犯规,对手获得控球权.
40'穆利洛为国际米兰赢得一个任意球.
40'黄牌！切沃球员梅吉奥里尼因为恶意犯规,被主裁判出示黄牌.
42'进球啦！！！国际米兰球员伊卡尔迪大禁区中央左脚射门,球从右下角飞进球门,球进了! 切沃 0-1 国际米兰.
43'射门!!!切沃球员比尔萨大禁区中央左脚射门,被对方守门员横身扑出.
43'切沃球员卡斯特罗大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是比尔萨.
44'N-弗雷将球处理出底线,国际米兰获得角球.
45'射门!!!国际米兰球员梅洛大禁区中央头球,被对方守门员横身扑出.
45'+1'上半场结束,切沃 0-1 国际米兰,稍事休息,我们一会来看看下半场两队的表现.
46'切沃球员B-塞萨尔拼抢犯规,对手获得控球权.
46'伊卡尔迪为国际米兰在右路,赢得一个任意球.
47'里戈尼为切沃在左路,赢得一个任意球.
47'国际米兰球员约维蒂奇拼抢犯规,对手获得控球权.
47'B-塞萨尔将球处理出底线,国际米兰获得角球.
48'哈特马吉将球处理出底线,国际米兰获得角球.
48'国际米兰球员穆利洛大禁区中央头球,被防守球员封堵.给他传球的是伊卡尔迪.
48'国际米兰球员梅洛大禁区中央右脚射门,被防守球员封堵.
48'甘贝里尼将球处理出底线,国际米兰获得角球.
49'国际米兰球员瓜林大禁区中央尝试头球,可惜皮球偏出球门.给他传球的是Alex Telles.
49'梅吉奥里尼为切沃在对方半场,赢得一个任意球.
49'国际米兰球员梅洛拼抢犯规,对手获得控球权.
50'切沃球员帕洛斯基大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是卡斯特罗.
53'切沃球员B-塞萨尔拼抢犯规,对手获得控球权.
53'孔多比亚为国际米兰在对方半场,赢得一个任意球.
54'国际米兰球员约维蒂奇大禁区外尝试右脚射门,可惜皮球高出球门.
55'切沃球员哈特马吉球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是N-弗雷.
57'梅德尔将球处理出底线,切沃获得角球.
60'哈特马吉为切沃在左路,赢得一个任意球.
60'国际米兰球员桑顿拼抢犯规,对手获得控球权.
61'切沃球员里戈尼拼抢犯规,对手获得控球权.
61'约维蒂奇为国际米兰赢得一个任意球.
61'卡斯特罗为切沃赢得一个任意球.
61'国际米兰球员梅洛拼抢犯规,对手获得控球权.
62'切沃球员哈特马吉拼抢犯规,对手获得控球权.
62'伊卡尔迪为国际米兰赢得一个任意球.
63'孔多比亚将球处理出底线,切沃获得角球.
65'切沃球员哈特马吉一脚直塞球给帕洛斯基,但是边裁举旗显示后者已经越位.
68'梅吉奥里尼将球处理出底线,国际米兰获得角球.
68'切沃换人,英格里斯换下帕洛斯基
69'国际米兰穆利洛受伤倒地,比赛暂停
70'国际米兰换人,拉诺齐亚上,穆利洛因伤下场.
70'暂停结束,球员们重新开始比赛.
70'国际米兰球员梅德尔大禁区外尝试右脚射门,可惜皮球高出球门.
72'切沃球员卡斯特罗危险动作,对手获得控球权.
72'桑顿为国际米兰赢得一个任意球.
73'Alex Telles将球处理出底线,切沃获得角球.
74'切沃换人,姆波库换下比尔萨
75'国际米兰换人,帕拉西奥换下约维蒂奇
77'切沃球员哈特马吉拼抢犯规,对手获得控球权.
77'瓜林为国际米兰在右路,赢得一个任意球.
79'梅吉奥里尼为切沃在对方半场,赢得一个任意球.
