1'上半场比赛开始！                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
1'首先开球的是贵州茅台                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
1'贵州茅台左路带球被破坏                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
2'贵州茅台左路下底，埃雷尔森头球解围出底线                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
2'角球送前点，关震双拳将球击出                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
2'开场后，贵州茅台攻的很凶                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
3'孤单抗体2935530557： 舜天主场在哪里啊【南京奥体啊】                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
3'李春郁前场抢球放倒了邓卓翔                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
4'半情歌amber：九秒点球【已经不可能啦】                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
4'贵州茅台前场断球                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
4'但舜天的反抢也是很凶                   1'第1分钟贵州先发难，张成林左路下底传中，站位不错的埃雷尔森头球解围
11'萨利中场附近将球横向转移                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
11'张成林左路传球送到中路                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
11'舜天先出一脚将球抢断下来                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
12'刘建业前场带球，假射突破                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
12'结果还是在禁区前沿被断                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
13'陈子介左路带球突破被双人包夹                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
13'但还是从两人的缝隙中突破了                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
13'无奈之下，舜天只能犯规                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
13'贵州茅台左路禁区边缘获得任意球机会                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
13'任意球开出，第一点被舜天顶出                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
14'火星人在现奇迹：舜天有些被动啊坚持15分钟！大举反击！！【也不算被动】                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
14'孙可中场带球突破被断                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
14'贵州茅台右路的突破也受阻                   11'第11分钟，舜天队前场连续配合被段，贵州队迅速发动反击，陈子介在左侧禁区线准备突破时被放倒，马琴斯基任意球直接攻门被人墙挡出
16'慢慢的拼凑--：左翼现在低调了，不在代表了【其实我也不想的】                   16'第16分钟，吴曦中场送出过顶长传，孙可接球突入禁区制造角球，左侧角球到前点，埃雷尔森前点头球解围
16'孙可左路突破被萨利破坏出底线                   16'第16分钟，吴曦中场送出过顶长传，孙可接球突入禁区制造角球，左侧角球到前点，埃雷尔森前点头球解围
17'舜天角球开出，前点头球一蹭                   16'第16分钟，吴曦中场送出过顶长传，孙可接球突入禁区制造角球，左侧角球到前点，埃雷尔森前点头球解围
17'中路被贵州茅台解围了                   16'第16分钟，吴曦中场送出过顶长传，孙可接球突入禁区制造角球，左侧角球到前点，埃雷尔森前点头球解围
19'舜天中场大范围转移到了右路                   16'第16分钟，吴曦中场送出过顶长传，孙可接球突入禁区制造角球，左侧角球到前点，埃雷尔森前点头球解围
19'周云拿球回敲，没有给好                   16'第16分钟，吴曦中场送出过顶长传，孙可接球突入禁区制造角球，左侧角球到前点，埃雷尔森前点头球解围
19'贵州茅台快速反击，于海左路的突破最终帮助球队赢得一个角球机会                   16'第16分钟，吴曦中场送出过顶长传，孙可接球突入禁区制造角球，左侧角球到前点，埃雷尔森前点头球解围
25'角球直接转向门前，埃雷尔森将球解围出来                   25'第25分钟，贵州队右侧角球旋向大门，埃雷尔森倒地俯身将球顶出禁区
25'魔亦有道9527：主播很明显是江苏舜天的球迷！麻烦别这么播噢尅【我想说。。。我不是】                   25'第25分钟，贵州队右侧角球旋向大门，埃雷尔森倒地俯身将球顶出禁区
