1'上半场比赛开始                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
1'鲁能泰山队身着桔红色服装，而重庆力帆队身着白色服装                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
1'重庆力帆队分球到右路，球出边线                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
2'重庆力帆队后场得球长传，彭欣力越位                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
2'阿洛伊西奥左路突破，对方抢球犯规                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
3'任意球发出来，鲁能泰山队传球到中路进攻，直传球没能过去                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
3'重庆力帆队得球反击，在中场对方犯规                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
3'冯劲右路突破，晃过阿洛伊西奥下底，没能控好，球出底线                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
4'阿洛伊西奥回到禁区内防守！当起了后卫                   1'第1分钟，山东鲁能迅速占据场上主动，打出多次威胁进攻
9'阿洛伊西奥右路接球下底横传，王永珀头球顶门，偏出！                   9'第9分钟，阿洛伊西奥边路得球弧线球传中，王永珀高高跃起甩头攻门稍稍高出横梁
10'重庆力帆队大脚开球到前场，王大雷大脚开回中场，重庆力帆队再斜传找吉利奥蒂，王彤护球出边线                   9'第9分钟，阿洛伊西奥边路得球弧线球传中，王永珀高高跃起甩头攻门稍稍高出横梁
11'界外球发出来，尤西雷把球转移到左路，交给王永珀                   9'第9分钟，阿洛伊西奥边路得球弧线球传中，王永珀高高跃起甩头攻门稍稍高出横梁
11'塔尔德利大脚转移右路，力量大啦，蒿俊闵没能控到，球出边线                   9'第9分钟，阿洛伊西奥边路得球弧线球传中，王永珀高高跃起甩头攻门稍稍高出横梁
12'彭欣力中场接球，乌索铲球犯规                   9'第9分钟，阿洛伊西奥边路得球弧线球传中，王永珀高高跃起甩头攻门稍稍高出横梁
12'任意球发出来，重庆力帆队分右路出边线                   9'第9分钟，阿洛伊西奥边路得球弧线球传中，王永珀高高跃起甩头攻门稍稍高出横梁
16'彭欣力外围一脚远射，偏啦                   16'直到第16分钟，重庆力帆才获得射门机会，彭欣力禁区外远射偏出
16'[互动话题]比赛进行了15分钟，双方上演了攻防大战！是矛利还是盾坚？上半场能有进球吗？A、能 B、能[qiangda]                   16'直到第16分钟，重庆力帆才获得射门机会，彭欣力禁区外远射偏出
17'王栋后场得球，对方上抢犯规                   16'直到第16分钟，重庆力帆才获得射门机会，彭欣力禁区外远射偏出
17'尤西雷中场直传球被断，重庆力帆队反击                   16'直到第16分钟，重庆力帆才获得射门机会，彭欣力禁区外远射偏出
17'重庆力帆队长传球到前场，王大雷出击没收                   16'直到第16分钟，重庆力帆才获得射门机会，彭欣力禁区外远射偏出
18'郑铮左路直传给阿洛伊西奥，横传球交给乌索，乌索直传球，塔尔德利一脚劲射被门将挡出来！                   16'直到第16分钟，重庆力帆才获得射门机会，彭欣力禁区外远射偏出
19'鲁能泰山队中场直传禁区，杨旭越位！                   16'直到第16分钟，重庆力帆才获得射门机会，彭欣力禁区外远射偏出
23'鲁能泰山队右路横传禁区，对方破坏出来                   23'第23分钟，塔尔德利挑传，阿洛伊西奥快速插上回传，杨旭将球打入，但是边裁示意越位在先
23'王永珀再吊球到禁区内，助理裁判举旗示意阿洛伊西奥越位！                   23'第23分钟，塔尔德利挑传，阿洛伊西奥快速插上回传，杨旭将球打入，但是边裁示意越位在先
24'重庆力帆队现在的阵形有些前压了！不过这可能是鲁能泰山队更多的机会                   23'第23分钟，塔尔德利挑传，阿洛伊西奥快速插上回传，杨旭将球打入，但是边裁示意越位在先
25'哟！悬！重庆力帆队长传球到禁区内，彭欣力抢点勾球越过王大雷，偏出底线！                   23'第23分钟，塔尔德利挑传，阿洛伊西奥快速插上回传，杨旭将球打入，但是边裁示意越位在先
25'王大雷大脚开球到前场，对方顶回来                   23'第23分钟，塔尔德利挑传，阿洛伊西奥快速插上回传，杨旭将球打入，但是边裁示意越位在先
26'奕安的诗：鲁能取三分[回复]当然，鲁能泰山队本场比赛目标只有一个：就是三分                   23'第23分钟，塔尔德利挑传，阿洛伊西奥快速插上回传，杨旭将球打入，但是边裁示意越位在先
26'吉利奥蒂后场得球，汪强抢球犯规                   23'第23分钟，塔尔德利挑传，阿洛伊西奥快速插上回传，杨旭将球打入，但是边裁示意越位在先
30'鲁能泰山队进球啦！！乌索！1-0                   30'第30分钟，山东鲁能打破僵局，王永珀做球，蒿俊闵插上弧线球传中，乌索禁区内头球抢点攻门得手，山东鲁能1-0领先
30'.塔尔德利挑传过顶球，王永珀得球横传，蒿俊闵横传禁区，乌索抢点顶门球进！                   30'第30分钟，山东鲁能打破僵局，王永珀做球，蒿俊闵插上弧线球传中，乌索禁区内头球抢点攻门得手，山东鲁能1-0领先
31'这球传得非常到位！                   30'第30分钟，山东鲁能打破僵局，王永珀做球，蒿俊闵插上弧线球传中，乌索禁区内头球抢点攻门得手，山东鲁能1-0领先
31'鲁能泰山队率先进球啦！您猜对了吗？                   30'第30分钟，山东鲁能打破僵局，王永珀做球，蒿俊闵插上弧线球传中，乌索禁区内头球抢点攻门得手，山东鲁能1-0领先
31'[互动话题]比赛进行到30分钟乌索为鲁能泰山队率先破门得分，下一粒进球将是哪支球队？A、鲁能 B、力帆 C、1-0结束[qiangda]                   30'第30分钟，山东鲁能打破僵局，王永珀做球，蒿俊闵插上弧线球传中，乌索禁区内头球抢点攻门得手，山东鲁能1-0领先
32'王栋右路带球进攻，在对方逼抢下球出边线                   30'第30分钟，山东鲁能打破僵局，王永珀做球，蒿俊闵插上弧线球传中，乌索禁区内头球抢点攻门得手，山东鲁能1-0领先
32'塔尔德利左路传过顶球到另一侧，蒿俊闵强突内线横传门前，塔尔德利慢了一点，对方把球破坏                   30'第30分钟，山东鲁能打破僵局，王永珀做球，蒿俊闵插上弧线球传中，乌索禁区内头球抢点攻门得手，山东鲁能1-0领先
33'角球发出来，到另一侧，鲁能泰山队右路横传禁区，阿洛伊西奥转身打门，没能打正                   30'第30分钟，山东鲁能打破僵局，王永珀做球，蒿俊闵插上弧线球传中，乌索禁区内头球抢点攻门得手，山东鲁能1-0领先
33'尤西雷中场接塔尔德利得球，左路直传，对方接到球                   30'第30分钟，山东鲁能打破僵局，王永珀做球，蒿俊闵插上弧线球传中，乌索禁区内头球抢点攻门得手，山东鲁能1-0领先
40'重庆力帆队中路反击，费尔南迪奥带球大了一点，王大雷出击把球破坏                   40'第40分钟，尤西雷铲球失误送给对手单刀机会，王大雷及时出击将球铲出边线
41'鲁能泰山队左路长传球，对方争顶下来                   40'第40分钟，尤西雷铲球失误送给对手单刀机会，王大雷及时出击将球铲出边线
41'彭欣力右路接队友传球，汪强背后抢球犯规                   40'第40分钟，尤西雷铲球失误送给对手单刀机会，王大雷及时出击将球铲出边线
42'谭望嵩情绪有些激动，裁判上前给以警告                   40'第40分钟，尤西雷铲球失误送给对手单刀机会，王大雷及时出击将球铲出边线
42'王栋发任意球到禁区内，阿洛伊西奥头球解围                   40'第40分钟，尤西雷铲球失误送给对手单刀机会，王大雷及时出击将球铲出边线
42'蒿俊闵挑球要过掉费尔南迪奥，后者阻挡犯规                   40'第40分钟，尤西雷铲球失误送给对手单刀机会，王大雷及时出击将球铲出边线
43'郑铮左路横传，阿洛伊西奥再交王永珀，彭欣力倒地后把球解围                   40'第40分钟，尤西雷铲球失误送给对手单刀机会，王大雷及时出击将球铲出边线
43'重庆力帆队长传前场，右路突破时被出击的王大雷没收                   40'第40分钟，尤西雷铲球失误送给对手单刀机会，王大雷及时出击将球铲出边线
48'尤西雷中场拿球，匀给塔尔德利                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
49'塔尔德利直传球，阿洛伊西奥传球后杨旭回传，阿洛伊西奥突破到禁区内，与杨旭两人抢到一块啦，阿洛伊西奥侧身打门被门将没收                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
49'蒿俊闵右路拿球，带到前场，人球分过再横传给塔尔德利                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
49'塔尔德利直传阿洛伊西奥，后者回传交给王永珀                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
50'尤西雷漂亮传球，郑铮左路横传禁区后点，阿洛伊西奥头球回顶，杨旭打门高出！                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
50'鲁能泰山队中场得球，左路斜传禁区，被对方截断                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
51'汪强在前场抢球犯规                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
51'陈雷斜传球到禁区内，对方解围出来                   48'第48分钟，阿洛伊西奥与杨旭连续一脚配合，杨旭禁区内小角度抢射，球被门将没收
