3'C罗的任意球攻门，圆月弯刀直挂球门左上角死角，伊拉佐兹奋力去扑还是无能为力                   3'第3分钟，C-罗纳尔多的远射送上看台
3'C罗进球后，西甲联赛已经打进142球，位居历史射手榜第21位                   3'第3分钟，C-罗纳尔多的远射送上看台
3'同时这也是C罗连续第8场比赛取得进球                   3'第3分钟，C-罗纳尔多的远射送上看台
4'莫德里奇左侧边路拿球，安德尔的放铲，铲翻了毕尔巴鄂，犯规                   3'第3分钟，C-罗纳尔多的远射送上看台
4'皇马左路进攻，没机会，中路过度到右路重新组织                   3'第3分钟，C-罗纳尔多的远射送上看台
5'阿尔比奥尔拿球，直塞找迪马利亚，被抢断                   3'第3分钟，C-罗纳尔多的远射送上看台
5'毕尔巴鄂的反击，可惜中路的传球和洛伦特默契不足                   3'第3分钟，C-罗纳尔多的远射送上看台
5'洛伦特往右路跑，而球却传向了左侧                   3'第3分钟，C-罗纳尔多的远射送上看台
6'游客5388:今天这是什么阵型（4231）                   3'第3分钟，C-罗纳尔多的远射送上看台
6'皇马前场传球失误，毕尔巴鄂的反击                   3'第3分钟，C-罗纳尔多的远射送上看台
17'C罗回撤到中场拿球，安德尔上抢踢倒了C罗，犯规                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
17'迪马利亚前场拿球，趟出一步，直接拔脚怒射，打偏啦                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
17'毕尔巴鄂前场右路的2过2配合                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
18'安德尔挑传过顶球，打在了莫德里奇的手臂上                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
18'莫德里奇被裁判出示了黄牌警告                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
18'慢镜头回放显示，莫德里奇的手臂并没离开身体，这判罚值得商榷啊                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
18'毕尔巴鄂获得前场任意球机会                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
19'位置在大禁区右上角，戈麦斯主罚                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
19'戈麦斯的任意球直接攻门，打在人墙上弹出                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
19'毕尔巴鄂的前场传球，火候不足，直接被迭戈-洛佩斯控制                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
20'伊图拉斯佩中场拿球，莫德里奇的放铲犯规                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
20'上半场20分钟了，皇马占据优势，比分也是1-0领先                   17'第17分钟，阿隆索传球，迪马利亚禁区前的射门仍然偏出
20'伊图拉斯佩中场拿球，莫德里奇的放铲犯规                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
20'上半场20分钟了，皇马占据优势，比分也是1-0领先                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
21'毕尔巴鄂进攻，中路斜传给到苏塞塔                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
21'苏塞塔拿球进入禁区，小禁区右侧的斜射                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
21'迭戈-洛佩斯侧扑，奋力将球扑出底线                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
21'毕尔巴鄂的角球机会，并没有形成威胁                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
21'不过球权还在毕尔巴鄂球员脚下                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
22'中路过顶斜传右边路，马塞洛头球摆渡中间，拉莫斯拿球                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
22'皇马后场的传球失误，伊图拉斯佩拿球横拨给到洛伦特                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
23'洛伦特拿球转身斜传左路找插上的苏塞塔                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
23'边裁举旗，苏塞塔越位在先                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
23'C罗前场拿球，回传找插上的马塞洛，被后卫挡出了边线                   20'第20分钟，安德尔传球，苏萨埃塔禁区右侧12码处低射远角被迭戈-洛佩斯神勇用指尖扑出
35'洛伦特前场接到队友的传球，突入禁区，起左脚打门，打在后卫身上弹出                   35'第35分钟，C-罗纳尔多传球，赫迪拉禁区弧顶推射被伊莱索斯没收
35'皇马的反击，赫迪拉禁区弧内的打门被伊拉佐兹倒地压在身下                   35'第35分钟，C-罗纳尔多传球，赫迪拉禁区弧顶推射被伊莱索斯没收
36'皇马前场抢点，赫迪拉拿球横拨给C罗                   35'第35分钟，C-罗纳尔多传球，赫迪拉禁区弧顶推射被伊莱索斯没收
36'C罗在转移给到莫德里奇，莫德里奇的过顶球                   35'第35分钟，C-罗纳尔多传球，赫迪拉禁区弧顶推射被伊莱索斯没收
36'打在防守球员身上弹起，伊拉佐兹出击将球拿到                   35'第35分钟，C-罗纳尔多传球，赫迪拉禁区弧顶推射被伊莱索斯没收
36'毕尔巴鄂禁区外的起球，佩佩后退中将球顶出了底线                   35'第35分钟，C-罗纳尔多传球，赫迪拉禁区弧顶推射被伊莱索斯没收
37'毕尔巴鄂的右侧角球，开出到中路                   35'第35分钟，C-罗纳尔多传球，赫迪拉禁区弧顶推射被伊莱索斯没收
37'圣何塞的头球攻门，迭戈-洛佩斯将球揽入怀中                   35'第35分钟，C-罗纳尔多传球，赫迪拉禁区弧顶推射被伊莱索斯没收
38'皇马现在失误，直接原地反抢的意识很强                   35'第35分钟，C-罗纳尔多传球，赫迪拉禁区弧顶推射被伊莱索斯没收
39'毕尔巴鄂的边路传中，阿尔比奥尔伸腿将球挡出                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
39'球权还在毕尔巴鄂球员脚下，毕尔巴鄂有人倒在了禁区里                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
39'苏塞塔，不过裁判并没有表示                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
39'皇马后场的抢断，C罗拿球反击                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
40'来到左路，横传交给插上的莫德里奇                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
40'莫德里奇禁区弧顶斜传找本泽马                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
40'主裁再次鸣哨，本泽马越位在先                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
40'阿隆索中场的防守，身后拉倒了穆尼安                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
41'阿隆索被主裁判出示了黄牌警告                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
41'毕尔巴鄂获得前场任意球机会                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
41'任意球开到禁区，头球，没什么威胁，被迭戈-洛佩斯控制                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
41'穆尼安拿球突入禁区，又倒地啦                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
42'裁判还是没理睬，球也是出了底线                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
42'C罗中线位置拿球，面对包夹，准备脚后跟过度给到马塞洛                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
42'毕尔巴鄂球员伸腿将球碰出了边线                   39'第39分钟，苏萨埃塔禁区边缘内在拉莫斯防守下摔倒，裁判未予判罚
40'来到左路，横传交给插上的莫德里奇                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
40'莫德里奇禁区弧顶斜传找本泽马                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
40'主裁再次鸣哨，本泽马越位在先                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
40'阿隆索中场的防守，身后拉倒了穆尼安                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
41'阿隆索被主裁判出示了黄牌警告                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
41'毕尔巴鄂获得前场任意球机会                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
41'任意球开到禁区，头球，没什么威胁，被迭戈-洛佩斯控制                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
41'穆尼安拿球突入禁区，又倒地啦                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
42'裁判还是没理睬，球也是出了底线                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
42'C罗中线位置拿球，面对包夹，准备脚后跟过度给到马塞洛                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
42'毕尔巴鄂球员伸腿将球碰出了边线                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
43'迪马利亚右边路拿球，进入禁区，自己的打门，击中横梁弹出                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
43'这球有点独了啊，中路的本泽马完全到位，空门机会                   40'第40分钟，阿隆索对穆尼亚因犯规被罚黄牌，戈麦斯右路任意球传中，但圣-何塞头球攻门偏出
44'穆尼安中路拿球，外脚背直塞给到安德尔                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
44'安德尔停球转身，左脚的打门，球出了底线                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
44'主裁判给了门球，安德尔投诉应该是个角球，裁判并没表示                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
45'上半场目前双方射门都是7次                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
45'本泽马禁区外的直传找前插的C罗                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
45'C罗还是慢了半拍，球被毕尔巴鄂球员解围                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
46'毕尔巴鄂的长传球，洛伦特争抢中撞倒了佩佩                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
46'主裁判鸣哨，但是洛伦特还是完成了射门                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
46'主裁判口头警告了洛伦特                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
46'裁判鸣哨，下半场比赛开始                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
46'毕尔巴鄂前场的逼抢被吹犯规                   44'第44分钟，安德尔禁区边缘劲射擦右侧立柱偏出
