2'克里斯坦特将球处理出底线,国际米兰获得角球.                   1'国米第1分钟反客为主
3'卡普拉里为佩斯卡拉赢得一个任意球.                   1'国米第1分钟反客为主
3'国际米兰球员穆利洛拼抢犯规,对手获得控球权.                   1'国米第1分钟反客为主
3'国际米兰球员梅德尔大禁区外右脚射门,被防守球员封堵.                   1'国米第1分钟反客为主
43'佩斯卡拉球员韦雷大禁区中央右脚射门,命中门柱横梁.给他传球的是卡普拉里.                   43'佩斯卡拉第43分钟险些破门，卡普拉里巧妙转身扣过后卫右路低传，韦雷在门前9米处推射击中横梁
43'佩斯卡拉球员梅穆萨伊大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是克里斯坦特.                   43'佩斯卡拉第43分钟险些破门，卡普拉里巧妙转身扣过后卫右路低传，韦雷在门前9米处推射击中横梁
44'国际米兰球员伊卡尔迪大禁区中央尝试头球,可惜皮球高出球门.给他传球的是坎德雷瓦.                   43'佩斯卡拉第43分钟险些破门，卡普拉里巧妙转身扣过后卫右路低传，韦雷在门前9米处推射击中横梁
45'射门!!!佩斯卡拉球员韦雷大禁区外右脚射门,被对方守门员横身扑出.给他传球的是梅穆萨伊.                   43'佩斯卡拉第43分钟险些破门，卡普拉里巧妙转身扣过后卫右路低传，韦雷在门前9米处推射击中横梁
45'+1'上半场结束,佩斯卡拉 0-0 国际米兰,稍事休息,我们一会来看看下半场两队的表现.                   43'佩斯卡拉第43分钟险些破门，卡普拉里巧妙转身扣过后卫右路低传，韦雷在门前9米处推射击中横梁
63'进球啦！！！佩斯卡拉球员巴希贝克小禁区左侧左脚射门,球从中路飞进球门,球进了!助攻的是赞帕诺. 佩斯卡拉 1-0 国际米兰.                   63'国米第63分钟首先失球
65'佩斯卡拉球员布鲁格曼一脚直塞球给巴希贝克,但是边裁举旗显示后者已经越位.                   63'国米第63分钟首先失球
66'佩斯卡拉球员巴希贝克拼抢犯规,对手获得控球权.                   63'国米第63分钟首先失球
66'德安布罗西奥为国际米兰赢得一个任意球.                   63'国米第63分钟首先失球
66'佩斯卡拉球员比拉吉拼抢犯规,对手获得控球权.                   63'国米第63分钟首先失球
66'坎德雷瓦为国际米兰在右路,赢得一个任意球.                   63'国米第63分钟首先失球
49'国际米兰球员伊卡尔迪大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是坎德雷瓦.                   49'仅过4分钟，卡普拉里反击分球，韦雷右侧距门14米处推射被汉达诺维奇神勇封出
51'射门!!!佩斯卡拉球员梅穆萨伊大禁区外右脚射门,被对方守门员横身扑出.给他传球的是韦雷.                   49'仅过4分钟，卡普拉里反击分球，韦雷右侧距门14米处推射被汉达诺维奇神勇封出
51'汉达诺维奇将球处理出底线,佩斯卡拉获得角球.                   49'仅过4分钟，卡普拉里反击分球，韦雷右侧距门14米处推射被汉达诺维奇神勇封出
52'佩斯卡拉球员克里斯坦特拼抢犯规,对手获得控球权.                   49'仅过4分钟，卡普拉里反击分球，韦雷右侧距门14米处推射被汉达诺维奇神勇封出
52'德安布罗西奥为国际米兰赢得一个任意球.                   49'仅过4分钟，卡普拉里反击分球，韦雷右侧距门14米处推射被汉达诺维奇神勇封出
77'进球啦！！！国际米兰球员伊卡尔迪大禁区中央头球,球从左下角飞进球门,球进了!助攻的是巴内加. 佩斯卡拉 1-1 国际米兰.                   77'国米第77分钟扳平比分
78'佩斯卡拉球员卡普拉里拼抢犯规,对手获得控球权.                   77'国米第77分钟扳平比分
78'米兰达为国际米兰在对方半场,赢得一个任意球.                   77'国米第77分钟扳平比分
90'射门!!!国际米兰球员帕拉西奥大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是埃德.                   90'第90分钟，埃德尔左肋塞球，帕拉西奥在门前12米处推射被比萨里伸脚挡出
90'+1'进球啦！！！国际米兰球员伊卡尔迪大禁区中央右脚射门,球从左下角飞进球门,球进了! 佩斯卡拉 1-2 国际米兰.                   90'第90分钟，埃德尔左肋塞球，帕拉西奥在门前12米处推射被比萨里伸脚挡出
90'+3'佩斯卡拉球员比拉吉大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是克里斯坦特.                   90'第90分钟，埃德尔左肋塞球，帕拉西奥在门前12米处推射被比萨里伸脚挡出
90'+5'下半场结束,佩斯卡拉 1-2 国际米兰                   90'第90分钟，埃德尔左肋塞球，帕拉西奥在门前12米处推射被比萨里伸脚挡出
