1'上海申鑫开场首先开球。                   1'双方第1分钟进入状态比较慢
1'开场上海申鑫从左向右进攻。                   1'双方第1分钟进入状态比较慢
1'开场阿尔滨中前场控球，于大宝直塞球传给孙铂，对方后卫抢先断球。                   1'双方第1分钟进入状态比较慢
2'今天阿尔滨的前锋是于大宝和新外援巴哈。                   1'双方第1分钟进入状态比较慢
2'大连阿尔滨陈涛替补席就坐。                   1'双方第1分钟进入状态比较慢
2'本场比赛主裁判郑伟祥。                   1'双方第1分钟进入状态比较慢
3'上海申鑫今天前锋是毛剑卿和凯萨。                   1'双方第1分钟进入状态比较慢
3'毛剑卿直塞传球凯萨，阿尔滨门将张翀出击将球没收。                   1'双方第1分钟进入状态比较慢
3'阿尔滨巴哈控球回传。                   1'双方第1分钟进入状态比较慢
4'今天阿尔滨主力外援凯塔因为红牌的原因停赛，本场不能出战。                   1'双方第1分钟进入状态比较慢
4'赵和靖右路传球禁区，上海申鑫门将刘殿座没收。                   1'双方第1分钟进入状态比较慢
7'申鑫左路进攻，中场于涛突然加速突破，传球19号凯萨，凯萨做球，跟进的毛剑卿射门，不过力量没有打正1，阿尔滨门将将球得到。                   7'第7分钟张永海对于大宝犯规吃到黄牌
7'于大宝中路突破被张永海拉倒，被裁判出示黄牌。                   7'第7分钟张永海对于大宝犯规吃到黄牌
8'阿尔滨快速发出任意球，没有打成。                   7'第7分钟张永海对于大宝犯规吃到黄牌
8'申鑫左路再次起球，上半场申鑫左路打的很活跃。                   7'第7分钟张永海对于大宝犯规吃到黄牌
8'陈雷左路后场控球，横传，右路赵和靖控球进攻。                   7'第7分钟张永海对于大宝犯规吃到黄牌
9'穆伦将球解围出边线，上海申鑫边线球。                   7'第7分钟张永海对于大宝犯规吃到黄牌
9'姜志鹏掷出边线球，阿尔滨后卫将球抢断，组织反击。                   7'第7分钟张永海对于大宝犯规吃到黄牌
9'于汉超控球，阿尔滨左路组织。                   7'第7分钟张永海对于大宝犯规吃到黄牌
10'赵和靖右路突破，传球禁区，低平球，不过力量稍大，巴哈速度稍慢没有碰到皮球。                   7'第7分钟张永海对于大宝犯规吃到黄牌
10'申鑫乔尼后场传球。                   7'第7分钟张永海对于大宝犯规吃到黄牌
10'赵和靖右路突破，传球禁区，低平球，不过力量稍大，巴哈速度稍慢没有碰到皮球。                   10'第10分钟，安东尼奥右路背身拿球，他转身后连续摆脱，并在多人夹击中突然传出精彩的向前弧线球，禁区内的凯撒拿球后，避开赵和靖的逼抢，面对张轻巧挑射破门，1比0，申鑫主场快速领先
10'申鑫乔尼后场传球。                   10'第10分钟，安东尼奥右路背身拿球，他转身后连续摆脱，并在多人夹击中突然传出精彩的向前弧线球，禁区内的凯撒拿球后，避开赵和靖的逼抢，面对张轻巧挑射破门，1比0，申鑫主场快速领先
11'张永海后场大脚前传，安东尼奥没有控制住皮球。                   10'第10分钟，安东尼奥右路背身拿球，他转身后连续摆脱，并在多人夹击中突然传出精彩的向前弧线球，禁区内的凯撒拿球后，避开赵和靖的逼抢，面对张轻巧挑射破门，1比0，申鑫主场快速领先
11'进球了！！                   10'第10分钟，安东尼奥右路背身拿球，他转身后连续摆脱，并在多人夹击中突然传出精彩的向前弧线球，禁区内的凯撒拿球后，避开赵和靖的逼抢，面对张轻巧挑射破门，1比0，申鑫主场快速领先
11'上海申鑫首先进球！                   10'第10分钟，安东尼奥右路背身拿球，他转身后连续摆脱，并在多人夹击中突然传出精彩的向前弧线球，禁区内的凯撒拿球后，避开赵和靖的逼抢，面对张轻巧挑射破门，1比0，申鑫主场快速领先
12'申鑫右路掷出边线球，23号安东尼奥控球，横向扯动，带球突破，突然直塞禁区，跟进的凯萨直面门将，将球打入，精彩                   10'第10分钟，安东尼奥右路背身拿球，他转身后连续摆脱，并在多人夹击中突然传出精彩的向前弧线球，禁区内的凯撒拿球后，避开赵和靖的逼抢，面对张轻巧挑射破门，1比0，申鑫主场快速领先
13'阿尔滨后防还是出现了漏洞，盯人不紧啊。                   10'第10分钟，安东尼奥右路背身拿球，他转身后连续摆脱，并在多人夹击中突然传出精彩的向前弧线球，禁区内的凯撒拿球后，避开赵和靖的逼抢，面对张轻巧挑射破门，1比0，申鑫主场快速领先
