8'杭州绿城球员陈中流大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   8'第8分钟，杭州绿城球员陈中流大禁区外尝试右脚射门，可惜皮球稍稍偏出左立柱
8'池忠国为延边富德赢得一个任意球.                   8'第8分钟，杭州绿城球员陈中流大禁区外尝试右脚射门，可惜皮球稍稍偏出左立柱
8'杭州绿城球员曹海清拼抢犯规,对手获得控球权.                   8'第8分钟，杭州绿城球员陈中流大禁区外尝试右脚射门，可惜皮球稍稍偏出左立柱
16'射门!!!杭州绿城球员陈柏良大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是萨米尔.                   16'第16分钟尹比加兰禁区外一脚远射被邹德海没收
16'射门!!!延边富德球员Yoon Bit-Garam大禁区外右脚射门,被对方守门员横身扑出.给他传球的是池忠国.                   16'第16分钟尹比加兰禁区外一脚远射被邹德海没收
17'池忠国为延边富德赢得一个任意球.                   16'第16分钟尹比加兰禁区外一脚远射被邹德海没收
17'杭州绿城球员赵宇豪拼抢犯规,对手获得控球权.                   16'第16分钟尹比加兰禁区外一脚远射被邹德海没收
25'杭州绿城球员陈柏良大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是德尼尔森.                   23'第23分钟绿城队左路展开攻势，萨米尔沿左路直传，曹海清快速插上甩开防守后下底传中，可惜后点无人包抄
26'射门!!!杭州绿城球员德尼尔森大禁区中央头球,被对方守门员横身扑出.给他传球的是葛振.                   23'第23分钟绿城队左路展开攻势，萨米尔沿左路直传，曹海清快速插上甩开防守后下底传中，可惜后点无人包抄
26'延边富德球员河太均拼抢犯规,对手获得控球权.                   23'第23分钟绿城队左路展开攻势，萨米尔沿左路直传，曹海清快速插上甩开防守后下底传中，可惜后点无人包抄
26'葛振为杭州绿城赢得一个任意球.                   23'第23分钟绿城队左路展开攻势，萨米尔沿左路直传，曹海清快速插上甩开防守后下底传中，可惜后点无人包抄
26'射门!!!杭州绿城球员德尼尔森大禁区中央头球,被对方守门员横身扑出.给他传球的是葛振.                   26'第26分钟，葛振右路下底传中，中路包抄的拉蒙无人盯防，他头球冲顶攻门，皮球被池文一在球门线上倒地摁下
26'延边富德球员河太均拼抢犯规,对手获得控球权.                   26'第26分钟，葛振右路下底传中，中路包抄的拉蒙无人盯防，他头球冲顶攻门，皮球被池文一在球门线上倒地摁下
26'葛振为杭州绿城赢得一个任意球.                   26'第26分钟，葛振右路下底传中，中路包抄的拉蒙无人盯防，他头球冲顶攻门，皮球被池文一在球门线上倒地摁下
27'朴世豪为延边富德赢得一个任意球.                   26'第26分钟，葛振右路下底传中，中路包抄的拉蒙无人盯防，他头球冲顶攻门，皮球被池文一在球门线上倒地摁下
27'杭州绿城球员曹海清拼抢犯规,对手获得控球权.                   26'第26分钟，葛振右路下底传中，中路包抄的拉蒙无人盯防，他头球冲顶攻门，皮球被池文一在球门线上倒地摁下
28'特拉沃利为延边富德在左路,赢得一个任意球.                   26'第26分钟，葛振右路下底传中，中路包抄的拉蒙无人盯防，他头球冲顶攻门，皮球被池文一在球门线上倒地摁下
28'杭州绿城球员陈柏良拼抢犯规,对手获得控球权.                   26'第26分钟，葛振右路下底传中，中路包抄的拉蒙无人盯防，他头球冲顶攻门，皮球被池文一在球门线上倒地摁下
29'射门!!!延边富德球员河太均大禁区中央头球,被对方守门员横身扑出.                   26'第26分钟，葛振右路下底传中，中路包抄的拉蒙无人盯防，他头球冲顶攻门，皮球被池文一在球门线上倒地摁下
