1'上半场比赛开始                   1'皇马第1分钟就展开积极攻势，贝尔远射被卡梅尼得到
1'首先由主队马拉加开球，从右向左进攻                   1'皇马第1分钟就展开积极攻势，贝尔远射被卡梅尼得到
1'马拉加后场的长传球到禁区弧顶，卡西利亚斯出击将球拿到                   1'皇马第1分钟就展开积极攻势，贝尔远射被卡梅尼得到
2'克罗斯中场拿球，横传给到伊斯科                   1'皇马第1分钟就展开积极攻势，贝尔远射被卡梅尼得到
2'伊斯科的斜传球右路前插的卡瓦哈尔                   1'皇马第1分钟就展开积极攻势，贝尔远射被卡梅尼得到
3'卡瓦哈尔横传交给中间的贝尔，贝尔横切，起脚打门，被卡梅尼奋力扑出                   1'皇马第1分钟就展开积极攻势，贝尔远射被卡梅尼得到
4'克罗斯中场的过顶斜传球到右路找卡瓦哈尔，被卡斯蒂列霍头球解围出边线                   1'皇马第1分钟就展开积极攻势，贝尔远射被卡梅尼得到
4'卡瓦哈尔右路拿球，面对逼抢，回传给到伊斯科                   1'皇马第1分钟就展开积极攻势，贝尔远射被卡梅尼得到
4'伊斯科带球强突，中圈附近过顶球找本泽马                   1'皇马第1分钟就展开积极攻势，贝尔远射被卡梅尼得到
12'角球开出到禁区，C罗头球没顶到，本泽马停球，转身抽射，打在防守球员身上弹出                   12'皇马第12分钟险些破门，贝尔禁区右侧传球，C-罗纳尔多8码处第一时间扫射被卡梅尼神勇扑出
12'C罗向裁判示意，对方有拉人，不过主裁判没表示，现场球迷倒是嘘声四起                   12'皇马第12分钟险些破门，贝尔禁区右侧传球，C-罗纳尔多8码处第一时间扫射被卡梅尼神勇扑出
13'皇马左路的传中球到后点，贝尔停球，横传到门前                   12'皇马第12分钟险些破门，贝尔禁区右侧传球，C-罗纳尔多8码处第一时间扫射被卡梅尼神勇扑出
13'C罗跟进推射，被卡梅尼奋力扑出                   12'皇马第12分钟险些破门，贝尔禁区右侧传球，C-罗纳尔多8码处第一时间扫射被卡梅尼神勇扑出
13'维利顿赶紧一步，抢在准备补射的C罗之前出脚解围                   12'皇马第12分钟险些破门，贝尔禁区右侧传球，C-罗纳尔多8码处第一时间扫射被卡梅尼神勇扑出
14'马拉加左路进攻，萨穆埃尔的边路传中到门前                   12'皇马第12分钟险些破门，贝尔禁区右侧传球，C-罗纳尔多8码处第一时间扫射被卡梅尼神勇扑出
14'圣克鲁斯的头球攻门，卡西鱼跃将球托出横梁                   12'皇马第12分钟险些破门，贝尔禁区右侧传球，C-罗纳尔多8码处第一时间扫射被卡梅尼神勇扑出
14'马拉加获得右侧角球机会                   12'皇马第12分钟险些破门，贝尔禁区右侧传球，C-罗纳尔多8码处第一时间扫射被卡梅尼神勇扑出
14'角球开出到前点，回防到禁区的C罗头球解围                   12'皇马第12分钟险些破门，贝尔禁区右侧传球，C-罗纳尔多8码处第一时间扫射被卡梅尼神勇扑出
18'马塞洛禁区左侧挑传后点，贝尔头球摆渡找C罗                   18'皇马第18分钟取得领先，C-罗纳尔多强突禁区左侧传中，本泽马抢在维利格顿之前近距离捅射入网
18'C罗停球回传，贝尔侧身凌空抽射，被卡梅尼侧扑化解                   18'皇马第18分钟取得领先，C-罗纳尔多强突禁区左侧传中，本泽马抢在维利格顿之前近距离捅射入网
19'不过主裁判鸣哨了，原来贝尔头球摆渡时，C罗越位在先                   18'皇马第18分钟取得领先，C-罗纳尔多强突禁区左侧传中，本泽马抢在维利格顿之前近距离捅射入网
19'皇马进球啦！！！0-1！！！                   18'皇马第18分钟取得领先，C-罗纳尔多强突禁区左侧传中，本泽马抢在维利格顿之前近距离捅射入网
19'本泽马的跟进铲射破门！！！                   18'皇马第18分钟取得领先，C-罗纳尔多强突禁区左侧传中，本泽马抢在维利格顿之前近距离捅射入网
20'C罗左路拿球，强突下底，横传球到门前，本泽马前插抢点，右脚外脚背一挡，将球挡进球门！！！                   18'皇马第18分钟取得领先，C-罗纳尔多强突禁区左侧传中，本泽马抢在维利格顿之前近距离捅射入网
20'上半场比赛20分钟，皇马客场1-0领先马拉加                   18'皇马第18分钟取得领先，C-罗纳尔多强突禁区左侧传中，本泽马抢在维利格顿之前近距离捅射入网
21'马拉加左路进攻，卡斯蒂列霍拿球横传，被佩佩挡出边线                   18'皇马第18分钟取得领先，C-罗纳尔多强突禁区左侧传中，本泽马抢在维利格顿之前近距离捅射入网
23'马塞洛左路下底传中，本泽马争顶时没起跳，顶翻了罗萨莱斯，被吹犯规                   23'第23分钟，达尔德30码外凌空传射，卡西利亚斯险些将皮球漏入右下角
24'马拉加左路传中，皇马球员解围出禁区                   23'第23分钟，达尔德30码外凌空传射，卡西利亚斯险些将皮球漏入右下角
24'禁区外围的雷西奥迎球怒射，卡西扑球脱手，打在立柱上弹出了底线                   23'第23分钟，达尔德30码外凌空传射，卡西利亚斯险些将皮球漏入右下角
24'卡西差点又是个低级失误，送大礼啊                   23'第23分钟，达尔德30码外凌空传射，卡西利亚斯险些将皮球漏入右下角
25'马拉加右路角球机会，并未形成威胁                   23'第23分钟，达尔德30码外凌空传射，卡西利亚斯险些将皮球漏入右下角
26'克罗斯中场拿球，过顶长传找贝尔                   23'第23分钟，达尔德30码外凌空传射，卡西利亚斯险些将皮球漏入右下角
26'贝尔头球摆渡到中间，维利顿出来大脚解围                   23'第23分钟，达尔德30码外凌空传射，卡西利亚斯险些将皮球漏入右下角
26'本泽马前场拿球，横传转移给到左侧的马塞洛                   23'第23分钟，达尔德30码外凌空传射，卡西利亚斯险些将皮球漏入右下角
40'马拉加上半场造越位的战术屡试不鲜，而且效果很不错                   40'皇马第40分钟错失良机，C-罗纳尔多直传，贝尔禁区右肋10码处单刀捅射被出击的卡梅尼挡出
41'贝尔右路拿起，趟球强突时，被出击的卡梅尼从其脚下扑出底线                   40'皇马第40分钟错失良机，C-罗纳尔多直传，贝尔禁区右肋10码处单刀捅射被出击的卡梅尼挡出
41'皇马获得右侧角球机会，开出到禁区，拉莫斯头球，顶高                   40'皇马第40分钟错失良机，C-罗纳尔多直传，贝尔禁区右肋10码处单刀捅射被出击的卡梅尼挡出
42'佩佩后场防守时，身后踢倒了杜达，犯规                   40'皇马第40分钟错失良机，C-罗纳尔多直传，贝尔禁区右肋10码处单刀捅射被出击的卡梅尼挡出
42'马拉加获得前场中路的任意球机会                   40'皇马第40分钟错失良机，C-罗纳尔多直传，贝尔禁区右肋10码处单刀捅射被出击的卡梅尼挡出
42'杜达主罚，任意球攻门，击中横梁上沿，弹出了底线                   40'皇马第40分钟错失良机，C-罗纳尔多直传，贝尔禁区右肋10码处单刀捅射被出击的卡梅尼挡出
43'上半场比赛进入尾声，比分1-0，本泽马进球，皇马领先                   40'皇马第40分钟错失良机，C-罗纳尔多直传，贝尔禁区右肋10码处单刀捅射被出击的卡梅尼挡出
43'克罗斯中场争顶时被吹犯规，还被出示了黄牌警告！！！                   40'皇马第40分钟错失良机，C-罗纳尔多直传，贝尔禁区右肋10码处单刀捅射被出击的卡梅尼挡出
52'克罗斯来主罚，搓传前点，贝尔甩头攻门，稍微高了一点点                   52'第52分钟，克罗斯右路任意球传中，贝尔前点近距离头球攻门稍稍高出
53'慢镜头回放显示，刚刚维利顿踢翻贝尔的地方在禁区内哦，马拉加逃过了点球                   52'第52分钟，克罗斯右路任意球传中，贝尔前点近距离头球攻门稍稍高出
54'伊斯科中场拿球，强突后直塞给到前插的贝尔                   52'第52分钟，克罗斯右路任意球传中，贝尔前点近距离头球攻门稍稍高出
54'贝尔下底传中到后点，C罗侧身凌空的倒勾射门，差之毫厘啊                   52'第52分钟，克罗斯右路任意球传中，贝尔前点近距离头球攻门稍稍高出
55'贝尔中场拿球，单骑闯关到禁区弧顶，起脚打门，被后卫一挡弹起                   52'第52分钟，克罗斯右路任意球传中，贝尔前点近距离头球攻门稍稍高出
55'接着后卫出脚将球解围，克罗斯外围迎球怒射，打在禁区内贝尔的身上弹回                   52'第52分钟，克罗斯右路任意球传中，贝尔前点近距离头球攻门稍稍高出
55'马拉加的前场进攻，圣克鲁斯禁区内争抢摔倒在地                   52'第52分钟，克罗斯右路任意球传中，贝尔前点近距离头球攻门稍稍高出
55'贝尔中场拿球，单骑闯关到禁区弧顶，起脚打门，被后卫一挡弹起                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
55'接着后卫出脚将球解围，克罗斯外围迎球怒射，打在禁区内贝尔的身上弹回                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
55'马拉加的前场进攻，圣克鲁斯禁区内争抢摔倒在地                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
56'马拉加球员示意有犯规，现场球迷也是嘘声四起，给主裁判施压                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
57'伊斯科中圈抢断，直塞给到本泽马，本泽马再横传找C罗                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
57'C罗不停球横敲中路，伊斯科跟进打门，被卡梅尼扑出                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
57'这球如果再分给左侧本泽马，机会会更好啊                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
57'克罗斯中场和雷西奥争抢时被拉倒在地                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
58'马塞洛左路拿球，起球到禁区，中间的贝尔没能顶到                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
58'后点的C罗拿球，强突后，直接小角度打门，打飞                   55'第55分钟，本泽马斜传，C-罗纳尔多无私横敲，但伊斯科小禁区前单刀捅射被卡梅尼出击挡出
67'马拉加面临着再次调整哦                   67'马拉加也有机会扳平比分，第67分钟，圣克鲁斯接角球后头球攻门稍稍高出
67'换人之前马拉加只能少一人出战了                   67'马拉加也有机会扳平比分，第67分钟，圣克鲁斯接角球后头球攻门稍稍高出
67'马拉加的前场进攻，赢得角球机会                   67'马拉加也有机会扳平比分，第67分钟，圣克鲁斯接角球后头球攻门稍稍高出
68'马拉加换人：安杰莱利被迫登场，都没热身，球衣也没穿好啊，换下受伤的桑切斯                   67'马拉加也有机会扳平比分，第67分钟，圣克鲁斯接角球后头球攻门稍稍高出
68'马拉加角球开出到禁区，维利顿的头球攻门，顶高                   67'马拉加也有机会扳平比分，第67分钟，圣克鲁斯接角球后头球攻门稍稍高出
68'这段时间皇马的进攻稍有缓解，反倒是马拉加的气势上来啦                   67'马拉加也有机会扳平比分，第67分钟，圣克鲁斯接角球后头球攻门稍稍高出
69'C罗前场左路拿球，稍微一停，再横传给跟进的本泽马                   67'马拉加也有机会扳平比分，第67分钟，圣克鲁斯接角球后头球攻门稍稍高出
70'本泽马趟球强突，可惜自己没能趟好，被马拉加球员破坏                   67'马拉加也有机会扳平比分，第67分钟，圣克鲁斯接角球后头球攻门稍稍高出
70'本泽马前场拿球反击，带球推进后面对防守，横传给到中间的C罗                   67'马拉加也有机会扳平比分，第67分钟，圣克鲁斯接角球后头球攻门稍稍高出
76'下半场比赛30分钟了，皇马客场依旧1-0领先                   76'皇马第76分钟错失良机，两名马拉加后卫漏过皮球，C-罗纳尔多11码处单刀射门又被卡梅尼神勇扑出
76'本场比赛还会有第二个进球产生吗？[qiangda]                   76'皇马第76分钟错失良机，两名马拉加后卫漏过皮球，C-罗纳尔多11码处单刀射门又被卡梅尼神勇扑出
77'马拉加后卫禁区内解围失误，直接将球漏给了C罗                   76'皇马第76分钟错失良机，两名马拉加后卫漏过皮球，C-罗纳尔多11码处单刀射门又被卡梅尼神勇扑出
77'C罗停球，面对好机会，不知所措了，结果起脚打门，被卡梅尼封堵                   76'皇马第76分钟错失良机，两名马拉加后卫漏过皮球，C-罗纳尔多11码处单刀射门又被卡梅尼神勇扑出
78'马塞洛跟进再补，在干扰下并未完成打门                   76'皇马第76分钟错失良机，两名马拉加后卫漏过皮球，C-罗纳尔多11码处单刀射门又被卡梅尼神勇扑出
78'面对突如其来的机会，C罗有点不适应，单挑门将竟然没能把握住                   76'皇马第76分钟错失良机，两名马拉加后卫漏过皮球，C-罗纳尔多11码处单刀射门又被卡梅尼神勇扑出
79'马拉加第三次换人：28号卷皮上，换下雷西奥                   76'皇马第76分钟错失良机，两名马拉加后卫漏过皮球，C-罗纳尔多11码处单刀射门又被卡梅尼神勇扑出
79'拉莫斯中线拿球，过顶斜传找右前场的卡瓦哈尔                   76'皇马第76分钟错失良机，两名马拉加后卫漏过皮球，C-罗纳尔多11码处单刀射门又被卡梅尼神勇扑出
79'卡瓦哈尔停球，面对逼抢，回传佩佩                   76'皇马第76分钟错失良机，两名马拉加后卫漏过皮球，C-罗纳尔多11码处单刀射门又被卡梅尼神勇扑出
86'伊斯科后场回防中，绊倒了带球强突的卡斯蒂列霍                   86'第86分钟，伊斯科面对旧主累计两张黄牌被罚下第87分钟，胡安皮任意球射门被卡西利亚斯飞身扑出，安格莱里小禁区边缘补射空门高出
86'伊斯科被主裁判再次出示了黄牌警告，两黄变一红，被罚出场了                   86'第86分钟，伊斯科面对旧主累计两张黄牌被罚下第87分钟，胡安皮任意球射门被卡西利亚斯飞身扑出，安格莱里小禁区边缘补射空门高出
87'伊斯科面对红牌，微笑离场，现场球迷起身掌声和膜拜走起                   86'第86分钟，伊斯科面对旧主累计两张黄牌被罚下第87分钟，胡安皮任意球射门被卡西利亚斯飞身扑出，安格莱里小禁区边缘补射空门高出
87'面对曾经的球队娇子，马拉加球迷一点不吝啬啊                   86'第86分钟，伊斯科面对旧主累计两张黄牌被罚下第87分钟，胡安皮任意球射门被卡西利亚斯飞身扑出，安格莱里小禁区边缘补射空门高出
88'马拉加获得前场的任意球机会，位置相当不错                   86'第86分钟，伊斯科面对旧主累计两张黄牌被罚下第87分钟，胡安皮任意球射门被卡西利亚斯飞身扑出，安格莱里小禁区边缘补射空门高出
88'卷皮的任意球攻门，卡西侧扑将球用身体挡出                   86'第86分钟，伊斯科面对旧主累计两张黄牌被罚下第87分钟，胡安皮任意球射门被卡西利亚斯飞身扑出，安格莱里小禁区边缘补射空门高出
88'门前的奥尔塔补射，直接踢飞                   86'第86分钟，伊斯科面对旧主累计两张黄牌被罚下第87分钟，胡安皮任意球射门被卡西利亚斯飞身扑出，安格莱里小禁区边缘补射空门高出
89'小豌豆站在场边，准备登场啦                   86'第86分钟，伊斯科面对旧主累计两张黄牌被罚下第87分钟，胡安皮任意球射门被卡西利亚斯飞身扑出，安格莱里小禁区边缘补射空门高出
89'皇马换人：小豌豆上，换下打进第二球的贝尔                   86'第86分钟，伊斯科面对旧主累计两张黄牌被罚下第87分钟，胡安皮任意球射门被卡西利亚斯飞身扑出，安格莱里小禁区边缘补射空门高出
