6'维罗纳球员托尼大禁区中央右脚射门,被防守球员封堵.给他传球的是莫拉斯.                   6'开场6分钟，莫拉斯后场长传，托尼突入禁区，在门前11米处推射被挡出右门柱
6'维迪奇将球处理出底线,维罗纳获得角球.                   6'开场6分钟，莫拉斯后场长传，托尼突入禁区，在门前11米处推射被挡出右门柱
6'维罗纳球员奥巴迪大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是霍尔弗雷德森.                   6'开场6分钟，莫拉斯后场长传，托尼突入禁区，在门前11米处推射被挡出右门柱
9'维罗纳球员Artur Ionita拼抢犯规,对手获得控球权.                   6'开场6分钟，莫拉斯后场长传，托尼突入禁区，在门前11米处推射被挡出右门柱
9'库兹曼诺维奇为国际米兰在右路,赢得一个任意球.                   6'开场6分钟，莫拉斯后场长传，托尼突入禁区，在门前11米处推射被挡出右门柱
15'国际米兰球员库兹曼诺维奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是科瓦契奇.                   15'第15分钟，库兹曼诺维奇禁区外抽射偏出右门角
18'进球啦！！！国际米兰球员伊卡尔迪大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是帕拉西奥. 国际米兰 1-1 维罗纳.                   15'第15分钟，库兹曼诺维奇禁区外抽射偏出右门角
48'维罗纳球员阿格斯蒂尼拼抢犯规,对手获得控球权.                   47'2分钟后，库兹曼诺维奇右路内切距门22米处左脚劲射击中近门柱弹回
48'伊卡尔迪为国际米兰赢得一个任意球.                   47'2分钟后，库兹曼诺维奇右路内切距门22米处左脚劲射击中近门柱弹回
48'进球啦！！！国际米兰球员伊卡尔迪球门线跟前左脚射门,球从左下角飞进球门,球进了! 国际米兰 2-1 维罗纳.                   47'2分钟后，库兹曼诺维奇右路内切距门22米处左脚劲射击中近门柱弹回
50'Artur Ionita为维罗纳在对方半场,赢得一个任意球.                   47'2分钟后，库兹曼诺维奇右路内切距门22米处左脚劲射击中近门柱弹回
50'国际米兰球员科瓦契奇拼抢犯规,对手获得控球权.                   47'2分钟后，库兹曼诺维奇右路内切距门22米处左脚劲射击中近门柱弹回
44'Juanito Gómez为维罗纳赢得一个任意球.                   43'第43分钟，赫里斯托祖洛普洛斯左路传中，华尼托-戈麦斯冲顶没有蹭到，球险些直接飞进门内，汉达诺维奇倒地单手封出
44'国际米兰球员梅德尔拼抢犯规,对手获得控球权.                   43'第43分钟，赫里斯托祖洛普洛斯左路传中，华尼托-戈麦斯冲顶没有蹭到，球险些直接飞进门内，汉达诺维奇倒地单手封出
44'黄牌！国际米兰球员梅德尔因为恶意犯规,被主裁判出示黄牌.                   43'第43分钟，赫里斯托祖洛普洛斯左路传中，华尼托-戈麦斯冲顶没有蹭到，球险些直接飞进门内，汉达诺维奇倒地单手封出
45'+2'上半场结束,国际米兰 1-1 维罗纳,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，赫里斯托祖洛普洛斯左路传中，华尼托-戈麦斯冲顶没有蹭到，球险些直接飞进门内，汉达诺维奇倒地单手封出
46'维罗纳球员Artur Ionita拼抢犯规,对手获得控球权.                   43'第43分钟，赫里斯托祖洛普洛斯左路传中，华尼托-戈麦斯冲顶没有蹭到，球险些直接飞进门内，汉达诺维奇倒地单手封出
46'多多为国际米兰在左路,赢得一个任意球.                   43'第43分钟，赫里斯托祖洛普洛斯左路传中，华尼托-戈麦斯冲顶没有蹭到，球险些直接飞进门内，汉达诺维奇倒地单手封出
48'维罗纳球员阿格斯蒂尼拼抢犯规,对手获得控球权.                   48'下半时开始3分钟，梅德尔与库兹曼诺维奇配合直塞，帕拉西奥禁区右侧低射，马克斯后点飞身铲球解围，球碰伊卡尔迪脚上折射入网，国米2比1反超
48'伊卡尔迪为国际米兰赢得一个任意球.                   48'下半时开始3分钟，梅德尔与库兹曼诺维奇配合直塞，帕拉西奥禁区右侧低射，马克斯后点飞身铲球解围，球碰伊卡尔迪脚上折射入网，国米2比1反超
48'进球啦！！！国际米兰球员伊卡尔迪球门线跟前左脚射门,球从左下角飞进球门,球进了! 国际米兰 2-1 维罗纳.                   48'下半时开始3分钟，梅德尔与库兹曼诺维奇配合直塞，帕拉西奥禁区右侧低射，马克斯后点飞身铲球解围，球碰伊卡尔迪脚上折射入网，国米2比1反超
50'Artur Ionita为维罗纳在对方半场,赢得一个任意球.                   48'下半时开始3分钟，梅德尔与库兹曼诺维奇配合直塞，帕拉西奥禁区右侧低射，马克斯后点飞身铲球解围，球碰伊卡尔迪脚上折射入网，国米2比1反超
50'国际米兰球员科瓦契奇拼抢犯规,对手获得控球权.                   48'下半时开始3分钟，梅德尔与库兹曼诺维奇配合直塞，帕拉西奥禁区右侧低射，马克斯后点飞身铲球解围，球碰伊卡尔迪脚上折射入网，国米2比1反超
51'维罗纳球员Juanito Gómez大禁区中央右脚射门,被防守球员封堵.                   48'下半时开始3分钟，梅德尔与库兹曼诺维奇配合直塞，帕拉西奥禁区右侧低射，马克斯后点飞身铲球解围，球碰伊卡尔迪脚上折射入网，国米2比1反超
51'国际米兰球员梅德尔手球,致使对方获得点球.                   48'下半时开始3分钟，梅德尔与库兹曼诺维奇配合直塞，帕拉西奥禁区右侧低射，马克斯后点飞身铲球解围，球碰伊卡尔迪脚上折射入网，国米2比1反超
51'国际米兰球员梅德尔因为故意手球,被裁判出示了第二张黄牌.                   48'下半时开始3分钟，梅德尔与库兹曼诺维奇配合直塞，帕拉西奥禁区右侧低射，马克斯后点飞身铲球解围，球碰伊卡尔迪脚上折射入网，国米2比1反超
51'维罗纳球员Juanito Gómez大禁区中央右脚射门,被防守球员封堵.                   51'第51分钟，华尼托-戈麦斯禁区右侧转身凌空勾传，梅德尔抬手臂封堵，点球
51'国际米兰球员梅德尔手球,致使对方获得点球.                   51'第51分钟，华尼托-戈麦斯禁区右侧转身凌空勾传，梅德尔抬手臂封堵，点球
51'国际米兰球员梅德尔因为故意手球,被裁判出示了第二张黄牌.                   51'第51分钟，华尼托-戈麦斯禁区右侧转身凌空勾传，梅德尔抬手臂封堵，点球
52'维罗纳球员托尼点球被对方守门员扑出.点球罚失.                   51'第51分钟，华尼托-戈麦斯禁区右侧转身凌空勾传，梅德尔抬手臂封堵，点球
52'维罗纳球员Artur Ionita小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.                   51'第51分钟，华尼托-戈麦斯禁区右侧转身凌空勾传，梅德尔抬手臂封堵，点球
53'克里斯托多洛普洛斯为维罗纳在左路,赢得一个任意球.                   51'第51分钟，华尼托-戈麦斯禁区右侧转身凌空勾传，梅德尔抬手臂封堵，点球
53'国际米兰球员拉诺齐亚拼抢犯规,对手获得控球权.                   51'第51分钟，华尼托-戈麦斯禁区右侧转身凌空勾传，梅德尔抬手臂封堵，点球
54'射门!!!维罗纳球员马科斯大禁区中央头球,被对方守门员横身扑出.给他传球的是克里斯托多洛普洛斯.                   51'第51分钟，华尼托-戈麦斯禁区右侧转身凌空勾传，梅德尔抬手臂封堵，点球
54'射门!!!维罗纳球员马科斯大禁区中央头球,被对方守门员横身扑出.给他传球的是克里斯托多洛普洛斯.                   54'第54分钟，赫里斯托祖洛普洛斯左侧开出任意球，马克斯头球一蹭被汉达诺维奇得到
55'Juanito Gómez为维罗纳赢得一个任意球.                   54'第54分钟，赫里斯托祖洛普洛斯左侧开出任意球，马克斯头球一蹭被汉达诺维奇得到
55'国际米兰球员胡安拼抢犯规,对手获得控球权.                   54'第54分钟，赫里斯托祖洛普洛斯左侧开出任意球，马克斯头球一蹭被汉达诺维奇得到
57'维罗纳球员马尔蒂奇拼抢犯规,对手获得控球权.                   54'第54分钟，赫里斯托祖洛普洛斯左侧开出任意球，马克斯头球一蹭被汉达诺维奇得到
57'伊卡尔迪为国际米兰在对方半场,赢得一个任意球.                   54'第54分钟，赫里斯托祖洛普洛斯左侧开出任意球，马克斯头球一蹭被汉达诺维奇得到
57'黄牌！维罗纳球员马尔蒂奇因为故意手球,被主裁判出示黄牌.                   54'第54分钟，赫里斯托祖洛普洛斯左侧开出任意球，马克斯头球一蹭被汉达诺维奇得到
60'维罗纳球员Artur Ionita大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是阿格斯蒂尼.                   60'第60分钟，阿戈斯蒂尼左路传中，赫里斯托祖洛普洛斯点球点左脚扫射高出
62'维罗纳球员马尔蒂奇拼抢犯规,对手获得控球权.                   60'第60分钟，阿戈斯蒂尼左路传中，赫里斯托祖洛普洛斯点球点左脚扫射高出
62'帕拉西奥为国际米兰赢得一个任意球.                   60'第60分钟，阿戈斯蒂尼左路传中，赫里斯托祖洛普洛斯点球点左脚扫射高出
62'拉诺齐亚将球处理出底线,维罗纳获得角球.                   60'第60分钟，阿戈斯蒂尼左路传中，赫里斯托祖洛普洛斯点球点左脚扫射高出
63'汉达诺维奇将球处理出底线,维罗纳获得角球.                   60'第60分钟，阿戈斯蒂尼左路传中，赫里斯托祖洛普洛斯点球点左脚扫射高出
63'帕拉西奥将球处理出底线,维罗纳获得角球.                   60'第60分钟，阿戈斯蒂尼左路传中，赫里斯托祖洛普洛斯点球点左脚扫射高出
63'维迪奇将球处理出底线,维罗纳获得角球.                   60'第60分钟，阿戈斯蒂尼左路传中，赫里斯托祖洛普洛斯点球点左脚扫射高出
63'维罗纳球员托尼小禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是克里斯托多洛普洛斯.                   60'第60分钟，阿戈斯蒂尼左路传中，赫里斯托祖洛普洛斯点球点左脚扫射高出
67'维罗纳球员克里斯托多洛普洛斯大禁区中央左脚射门,命中门柱横梁.给他传球的是托尼.                   67'第67分钟，奥巴迪左路传中，托尼前点头球摆渡，赫里斯托祖洛普洛斯在门前13米处左脚抽射，球击中横梁下沿反弹到门线前面
67'维罗纳球员Juanito Gómez拼抢犯规,对手获得控球权.                   67'第67分钟，奥巴迪左路传中，托尼前点头球摆渡，赫里斯托祖洛普洛斯在门前13米处左脚抽射，球击中横梁下沿反弹到门线前面
67'汉达诺维奇为国际米兰赢得一个任意球.                   67'第67分钟，奥巴迪左路传中，托尼前点头球摆渡，赫里斯托祖洛普洛斯在门前13米处左脚抽射，球击中横梁下沿反弹到门线前面
68'国际米兰汉达诺维奇受伤倒地,比赛暂停                   67'第67分钟，奥巴迪左路传中，托尼前点头球摆渡，赫里斯托祖洛普洛斯在门前13米处左脚抽射，球击中横梁下沿反弹到门线前面
69'暂停结束,球员们重新开始比赛.                   67'第67分钟，奥巴迪左路传中，托尼前点头球摆渡，赫里斯托祖洛普洛斯在门前13米处左脚抽射，球击中横梁下沿反弹到门线前面
82'马科斯将球处理出底线,国际米兰获得角球.                   82'第82分钟，库兹曼诺维奇右侧开出角球，维迪奇在门前9米处冲顶偏出左门柱
83'国际米兰球员维迪奇大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是库兹曼诺维奇.                   82'第82分钟，库兹曼诺维奇右侧开出角球，维迪奇在门前9米处冲顶偏出左门柱
84'维罗纳球员克里斯托多洛普洛斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是托尼.                   82'第82分钟，库兹曼诺维奇右侧开出角球，维迪奇在门前9米处冲顶偏出左门柱
85'多多将球处理出底线,维罗纳获得角球.                   82'第82分钟，库兹曼诺维奇右侧开出角球，维迪奇在门前9米处冲顶偏出左门柱
88'维罗纳球员托尼大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿格斯蒂尼.                   88'第88分钟，左路底线低传，托尼左脚推射偏出近门柱
89'维罗纳球员马尔蒂奇拼抢犯规,对手获得控球权.                   88'第88分钟，左路底线低传，托尼左脚推射偏出近门柱
89'奥比为国际米兰在左路,赢得一个任意球.                   88'第88分钟，左路底线低传，托尼左脚推射偏出近门柱
89'进球啦！！！维罗纳球员尼克-洛佩斯大禁区右侧左脚射门,球从中路飞进球门,球进了!助攻的是萨维奥拉. 国际米兰 2-2 维罗纳.                   88'第88分钟，左路底线低传，托尼左脚推射偏出近门柱
90'+3'国际米兰换人,奥斯瓦尔多换下伊卡尔迪                   88'第88分钟，左路底线低传，托尼左脚推射偏出近门柱
90'+4'维罗纳球员阿格斯蒂尼大禁区外尝试左脚射门,可惜皮球偏出球门.                   88'第88分钟，左路底线低传，托尼左脚推射偏出近门柱
90'+5'下半场结束,国际米兰 2-2 维罗纳                   88'第88分钟，左路底线低传，托尼左脚推射偏出近门柱
